"id","year","month","day","lon","lat","Size_class","catch","fhours","depth","sst","sstsource"
"AA_MA_20000820_110801",2000,8,20,-70.1666666666667,41.4166666666667,"small",0,6,-74.1,17.22,"Field"
"AA_MA_20000829_210401",2000,8,29,-69.9166666666667,41.6666666666667,"small",1,8,-73.2,18.33,"Field"
"AA_MA_20000915_110801",2000,9,15,-69.9166666666667,41.6666666666667,"small",0,1,-54.9,18.0599994659424,"OISST"
"AA_MA_20000916_110303",2000,9,16,-69.9166666666667,41.6666666666667,"small",0,2,-61,16.11,"Field"
"AA_MA_20000921_210102",2000,9,21,-69.8333333333333,41.6666666666667,"small",0,5,-73.2,16.67,"Field"
"AA_MA_20000929_110201",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,4,-61,15.56,"Field"
"AA_MA_20000929_110202",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,2,-54.9,15.56,"Field"
"AA_MA_20000929_110203",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,1,-61,16.11,"Field"
"AA_MA_20000929_110205",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,12,-51.8,15.56,"Field"
"AA_MA_20000929_110211",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,2,-67.1,15.56,"Field"
"AA_MA_20000929_110213",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,6,-91.4,16.11,"Field"
"AA_MA_20000929_110214",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,2,-57.9,16.11,"Field"
"AA_MA_20000929_110215",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,6,-61,16.11,"Field"
"AA_MA_20000929_110216",2000,9,29,-70.1666666666667,41.4166666666667,"small",0,3,-61,15.56,"Field"
"AA_MA_20001008_110303",2000,10,8,-70.1666666666667,41.4166666666667,"small",0,1,-61,15.1399993896484,"OISST"
"AA_MA_20001008_110305",2000,10,8,-70.5,41.4166666666667,"small",0,1,-61,16.2099990844727,"OISST"
"AA_MA_20001008_110308",2000,10,8,-69.9166666666667,41.6666666666667,"small",0,8,-67.1,14.3599996566772,"OISST"
"AA_MA_20001012_210301",2000,10,12,-70.1666666666667,41.4166666666667,"small",0,1,-73.2,14.44,"Field"
"AA_MA_20001012_210302",2000,10,12,-70.1666666666667,41.4166666666667,"small",0,6,-106.7,16.11,"Field"
"AA_MA_20001012_210303",2000,10,12,-70.1666666666667,41.4166666666667,"small",0,1,-88.4,15,"Field"
"AA_MA_20001012_210304",2000,10,12,-70.1666666666667,41.4166666666667,"small",0,6,-91.4,15.56,"Field"
"AA_MA_20001012_210305",2000,10,12,-70.1666666666667,41.4166666666667,"small",0,1,-91.4,14.44,"Field"
"AA_MA_20001013_110601",2000,10,13,-69.9166666666667,41.6666666666667,"small",0,1,-91.4,13.33,"Field"
"AA_MA_20001013_110602",2000,10,13,-69.9166666666667,41.6666666666667,"small",0,1,-91.4,13.33,"Field"
"AA_MA_20001013_110603",2000,10,13,-69.9166666666667,41.6666666666667,"small",0,2,-83.8,13.89,"Field"
"AA_MA_20001013_110604",2000,10,13,-69.9166666666667,41.6666666666667,"small",0,8,-61,14.44,"Field"
"AA_MA_20001015_110801",2000,10,15,-70.3333333333333,41.8333333333333,"small",0,3,-54.9,12.22,"Field"
"AA_MA_20001015_110901",2000,10,15,-70.1666666666667,41.4166666666667,"small",0,2,-91.4,13.33,"Field"
"AA_MA_20001015_110902",2000,10,15,-70.25,41.4166666666667,"small",0,1,-91.4,15,"Field"
"AA_MA_20001015_111301",2000,10,15,-70.25,42.1666666666667,"small",0,10,-68.6,11.67,"Field"
"AA_MA_20001020_110801",2000,10,20,-70.1666666666667,41.4166666666667,"small",0,8,-73.2,12.22,"Field"
"AA_MA_20001026_210401",2000,10,26,-69.9166666666667,41.6666666666667,"small",0,2,-61,12.22,"Field"
"AA_MA_20001026_210402",2000,10,26,-69.9166666666667,41.6666666666667,"small",0,7,-54.9,13.33,"Field"
"AA_MA_20010703_062603",2001,7,3,-69.5666666666667,42.6166666666667,"small",0,3,-61,17.78,"Field"
"AA_MA_20010704_062601",2001,7,4,-69.5666666666667,42.6166666666667,"small",0,3,-61,17.78,"Field"
"AA_MA_20010705_062602",2001,7,5,-69.5666666666667,42.6166666666667,"small",0,3,-61,17.78,"Field"
"AA_MA_20010707_110201",2001,7,7,-70.6666666666667,41.6666666666667,"small",0,7,-51.8,16.11,"Field"
"AA_MA_20010728_110301",2001,7,28,-70.1666666666667,42.9166666666667,"small",0,6,-65.5,17.22,"Field"
"AA_MA_20010901_019001",2001,9,1,-71.5,40.5,"small",6,8,-47.2,23.89,"Field"
"AA_MA_20010916_110701",2001,9,16,-69.9166666666667,41.6666666666667,"small",0,3,-76.2,17.22,"Field"
"AA_MA_20010916_110702",2001,9,16,-70.1666666666667,41.4166666666667,"small",0,1,-73.2,17.22,"Field"
"AA_MA_20010916_110703",2001,9,16,-70.1666666666667,41.4166666666667,"small",0,1,-73.2,17.22,"Field"
"AA_MA_20010916_110704",2001,9,16,-70.1666666666667,41.4166666666667,"small",0,3,-67.1,17.22,"Field"
"AA_MA_20010922_110801",2001,9,22,-70.25,42.1666666666667,"small",2,8,-27.4,16.67,"Field"
"AA_MA_20011004_210101",2001,10,4,-70.1666666666667,41.4166666666667,"small",0,10,-91.4,16.2299995422363,"OISST"
"AA_MA_20011019_110501",2001,10,19,-70.1666666666667,41.4166666666667,"small",0,10,-91.4,14.6499996185303,"OISST"
"AA_MA_20011019_110502",2001,10,19,-70.1666666666667,41.4166666666667,"small",0,2,-121.9,14.6499996185303,"OISST"
"AA_MD_19960718_210401",1996,7,18,-74.6166666666667,38.2,"small",4,6,-36.6,24.44,"Field"
"AA_MD_19960718_210403",1996,7,18,-74.6166666666667,38.2,"small",2,7,-39.6,22.78,"Field"
"AA_MD_19980614_110501",1998,6,14,-74.75,38.0833333333333,"small",1,4,-31.7,17.78,"Field"
"AA_MD_19980614_110503",1998,6,14,-74.6666666666667,37.1666666666667,"small",4,3,-548.6,17.4400005340576,"OISST"
"AA_MD_19980619_110603",1998,6,19,-74.5,37.4,"small",1,10,-914.4,21.11,"Field"
"AA_MD_19980619_110604",1998,6,19,-74.2833333333333,38.1,"small",1,8,-54.9,22.22,"Field"
"AA_MD_19980706_410103",1998,7,6,-74.8333333333333,37.3333333333333,"small",1,7,-45.7,22.78,"Field"
"AA_MD_19980706_410107",1998,7,6,-74.75,38.0833333333333,"small",3,8,-36.6,22.78,"Field"
"AA_MD_19980708_410201",1998,7,8,-74.4,38.1833333333333,"small",4,8,-39.6,22.78,"Field"
"AA_MD_19980708_410202",1998,7,8,-74.4,38.1833333333333,"small",7,6,-36.6,23.33,"Field"
"AA_MD_19980708_410204",1998,7,8,-74.75,38.0833333333333,"small",3,7,-53.3,22.22,"Field"
"AA_MD_19980720_210104",1998,7,20,-74.8333333333333,37.6666666666667,"small",1,6,-42.7,25,"Field"
"AA_MD_19980720_210107",1998,7,20,-74.4,38.1833333333333,"small",1,8,-42.7,24.44,"Field"
"AA_MD_19980722_210205",1998,7,22,-74.1833333333333,38.1,"small",1,7,-39.6,26.67,"Field"
"AA_MD_19980722_210208",1998,7,22,-74.6166666666667,38.2,"small",1,8,-42.7,26.67,"Field"
"AA_MD_19980724_310402",1998,7,24,-74.3333333333333,38.4166666666667,"small",1,8,-36.6,25,"Field"
"AA_MD_19980724_310404",1998,7,24,-74.8333333333333,37.6666666666667,"small",1,6,-42.7,26.67,"Field"
"AA_MD_19980724_310408",1998,7,24,-74.75,38.0833333333333,"small",1,6,-36.6,24.019998550415,"OISST"
"AA_MD_19980724_310415",1998,7,24,-74.4,38.1833333333333,"small",1,8,-36.6,26.11,"Field"
"AA_MD_19980724_310416",1998,7,24,-74.6166666666667,38.2,"small",1,8,-42.7,25.56,"Field"
"AA_MD_19980724_310418",1998,7,24,-74.75,38.0833333333333,"small",2,10,-38.1,24.019998550415,"OISST"
"AA_MD_19980822_110103",1998,8,22,-74.8333333333333,37.6666666666667,"small",1,6,-25.6,25,"Field"
"AA_MD_19980911_310317",1998,9,11,-74.2833333333333,38.1,"small",1,8,-79.2,25,"Field"
"AA_MD_19980912_110615",1998,9,12,-74.2833333333333,38.1,"small",5,12,-36.6,22.22,"Field"
"AA_MD_19990717_110501",1999,7,17,-74.8333333333333,37.6666666666667,"small",1,6,-25.9,22.22,"Field"
"AA_MD_19990717_110502",1999,7,17,-74.9166666666667,37.5833333333333,"small",3,5,-29.6,24.44,"Field"
"AA_MD_19990717_110505",1999,7,17,-74.9166666666667,37.5833333333333,"small",3,8,-27.4,24.44,"Field"
"AA_MD_19990717_110517",1999,7,17,-74.9166666666667,37.5833333333333,"small",2,8,-27.4,22.78,"Field"
"AA_MD_19990717_110518",1999,7,17,-74.9166666666667,37.5833333333333,"small",1,7,-30.5,23.89,"Field"
"AA_MD_19990718_110107",1999,7,18,-74.8333333333333,37.6666666666667,"small",2,6,-30.5,23.33,"Field"
"AA_MD_19990718_110108",1999,7,18,-74.8333333333333,37.6666666666667,"small",1,7,-30.5,23.33,"Field"
"AA_MD_19990807_110604",1999,8,7,-74.75,38.0833333333333,"small",1,9,-21.9,26.67,"Field"
"AA_MD_19990827_110204",1999,8,27,-74.4666666666667,38.25,"small",2,8,-39.6,24.4699993133545,"OISST"
"AA_MD_20000624_110310",2000,6,24,-74.25,38.0833333333333,"small",1,8,-36.6,21.939998626709,"OISST"
"AA_MD_20000628_210301",2000,6,28,-75.3333333333333,36.75,"small",5,8,-38.1,24.1299991607666,"OISST"
"AA_MD_20000628_210302",2000,6,28,-75.3333333333333,36.75,"small",1,7,-38.1,22.22,"Field"
"AA_MD_20000628_210303",2000,6,28,-75.3333333333333,35.75,"small",1,7,-39.6,25.6399993896484,"OISST"
"AA_MD_20000628_210304",2000,6,28,-75.3333333333333,36.75,"small",1,7,-36.6,22.22,"Field"
"AA_MD_20000629_210401",2000,6,29,-74.2833333333333,38.1,"small",2,5,-45.7,22.1599998474121,"OISST"
"AA_MD_20000629_210402",2000,6,29,-74.2833333333333,38.1,"small",2,12,-36.6,21.67,"Field"
"AA_MD_20000629_210403",2000,6,29,-74.4,38.1833333333333,"small",2,8,-42.7,22.22,"Field"
"AA_MD_20000701_110101",2000,7,1,-74.4,38.1833333333333,"small",2,10,-39.6,21.67,"Field"
"AA_MD_20000701_110102",2000,7,1,-74.4,38.1833333333333,"small",2,12,-39.6,22.22,"Field"
"AA_MD_20000702_110406",2000,7,2,-74.2833333333333,38.1,"small",1,8,-54.9,22.22,"Field"
"AA_MD_20000703_210401",2000,7,3,-74.4666666666667,38.1833333333333,"small",1,8,-39,22.78,"Field"
"AA_MD_20000708_110101",2000,7,8,-74.4166666666667,37.4166666666667,"small",3,6,-73.2,24.5299987792969,"OISST"
"AA_MD_20000708_110103",2000,7,8,-74.25,38.0833333333333,"small",2,6,-54.9,24.6599998474121,"OISST"
"AA_MD_20000708_110306",2000,7,8,-74.4,38.1833333333333,"small",6,5,-45.7,22.22,"Field"
"AA_MD_20000716_110902",2000,7,16,-74.25,38.0833333333333,"small",2,6,-36.6,22.22,"Field"
"AA_MD_20000717_210202",2000,7,17,-74.4,38.1833333333333,"small",1,8,-44.2,24.3299999237061,"OISST"
"AA_MD_20000718_210304",2000,7,18,-74.4,38.1833333333333,"small",2,6,-39,23.33,"Field"
"AA_MD_20000721_110401",2000,7,21,-74.4,38.1833333333333,"small",2,4,-40.5,22.22,"Field"
"AA_MD_20000721_110403",2000,7,21,-74.4,38.1833333333333,"small",2,8,-39.3,23.4499988555908,"OISST"
"AA_MD_20000721_110404",2000,7,21,-74.1,37.8666666666667,"small",3,7,-109.7,24.44,"Field"
"AA_MD_20000721_110407",2000,7,21,-74.4,38.1833333333333,"small",1,6,-39.6,23.89,"Field"
"AA_MD_20000721_110415",2000,7,21,-74.4,38.1833333333333,"small",1,8,-39.6,22.78,"Field"
"AA_MD_20000721_110418",2000,7,21,-74.4666666666667,38.8166666666667,"small",3,6,-28,23.33,"Field"
"AA_MD_20000721_110419",2000,7,21,-74.4,38.1833333333333,"small",2,6,-109.7,23.33,"Field"
"AA_MD_20000722_110701",2000,7,22,-74.4,38.1833333333333,"small",6,8,-39.3,24.44,"Field"
