"Size_class","id","year","month","day","fhours","depth","sst","lon","lat","catch"
"small","AA_DE_20010728_006102",2001,7,28,6,-35.1,22.22,-74.3,38.1166666666667,0
"large","AA_DE_20010728_006102",2001,7,28,6,-35.1,22.22,-74.3,38.1166666666667,0
"small","AA_DE_20010728_110504",2001,7,28,6,-37.8,22.78,-74.2833333333333,38.1,1
"large","AA_DE_20010728_110504",2001,7,28,6,-37.8,22.78,-74.2833333333333,38.1,0
"small","AA_DE_20010803_110403",2001,8,3,8,-36.6,21.67,-74.2833333333333,38.1,4
"large","AA_DE_20010803_110403",2001,8,3,8,-36.6,21.67,-74.2833333333333,38.1,0
"small","AA_DE_20010803_110404",2001,8,3,4,-54.9,22.78,-74.4,38.1833333333333,1
"large","AA_DE_20010803_110404",2001,8,3,4,-54.9,22.78,-74.4,38.1833333333333,0
"small","AA_DE_20010803_110601",2001,8,3,8,-38.7,23.33,-74.2833333333333,38.1,10
"large","AA_DE_20010803_110601",2001,8,3,8,-38.7,23.33,-74.2833333333333,38.1,0
"small","AA_DE_20010803_110602",2001,8,3,8,-36.6,23.33,-74.2833333333333,38.1,8
"large","AA_DE_20010803_110602",2001,8,3,8,-36.6,23.33,-74.2833333333333,38.1,0
"small","AA_DE_20010803_110603",2001,8,3,9,-61,22.78,-74.2833333333333,38.1,8
"large","AA_DE_20010803_110603",2001,8,3,9,-61,22.78,-74.2833333333333,38.1,0
"small","AA_DE_20010803_110604",2001,8,3,8,-36.6,23.33,-74.2833333333333,38.1,5
"large","AA_DE_20010803_110604",2001,8,3,8,-36.6,23.33,-74.2833333333333,38.1,0
"small","AA_DE_20010803_110605",2001,8,3,8,-39.6,22.78,-74.2833333333333,38.1,10
"large","AA_DE_20010803_110605",2001,8,3,8,-39.6,22.78,-74.2833333333333,38.1,0
"small","AA_DE_20010804_110801",2001,8,4,6,-36.6,22.78,-74.2833333333333,38.1,3
"large","AA_DE_20010804_110801",2001,8,4,6,-36.6,22.78,-74.2833333333333,38.1,0
"small","AA_DE_20010804_110802",2001,8,4,8,-57.9,23.33,-74.2833333333333,38.1,1
"large","AA_DE_20010804_110802",2001,8,4,8,-57.9,23.33,-74.2833333333333,38.1,0
"small","AA_DE_20010804_110804",2001,8,4,7,-38.1,22.78,-74.2833333333333,38.1,1
"large","AA_DE_20010804_110804",2001,8,4,7,-38.1,22.78,-74.2833333333333,38.1,0
"small","AA_DE_20010805_110701",2001,8,5,16,-91.4,23.33,-73.8333333333333,38.2333333333333,3
"large","AA_DE_20010805_110701",2001,8,5,16,-91.4,23.33,-73.8333333333333,38.2333333333333,0
"small","AA_DE_20010806_210101",2001,8,6,6,-36.6,23.33,-74.2833333333333,38.1,8
"large","AA_DE_20010806_210101",2001,8,6,6,-36.6,23.33,-74.2833333333333,38.1,0
"small","AA_DE_20010806_210102",2001,8,6,6,-38.1,23.89,-74.2833333333333,38.1,4
"large","AA_DE_20010806_210102",2001,8,6,6,-38.1,23.89,-74.2833333333333,38.1,0
"small","AA_DE_20010815_210402",2001,8,15,7,-36.6,25,-74.2833333333333,38.1,1
