"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy","slp"
"2000_154475_11_9_21",2000,9,21,-63,44,"small",0,10,15.8499994277954,"OISST",-224.5,100370
"2000_154475_12_9_22",2000,9,22,-63,44,"small",0,2.5,15.5299997329712,"OISST",-224.5,101040
"2000_154475_17_9_28",2000,9,28,-63,44,"small",0,3,14.1499996185303,"OISST",-224.5,101732
"2000_154475_2_8_23",2000,8,23,-65.6166666666667,42.0333333333333,"small",0,18,17.0200004577637,"OISST",-266,102425
"2000_154475_6_9_16",2000,9,16,-63,44,"small",0,5,14.5999994277954,"OISST",-224.5,100157
"2000_154475_9_9_19",2000,9,19,-63,44,"small",0,12,14.6999998092651,"OISST",-224.5,101715
"2000_154477_1_9_19",2000,9,19,-60.8333333333333,45.3166666666667,"small",0,12,13.1300001144409,"OISST",-44.7,101715
"2000_154477_10_10_17",2000,10,17,-60.8333333333333,45.3166666666667,"small",0,10.3,11.0100002288818,"OISST",-44.7,102667
"2000_154477_11_10_18",2000,10,18,-60.8333333333333,45.3166666666667,"small",0,8.1,10.9099998474121,"OISST",-44.7,102492
"2000_154477_2_9_20",2000,9,20,-60.8333333333333,45.3166666666667,"small",0,8.5,14.3699998855591,"OISST",-44.7,101130
"2000_154477_3_9_21",2000,9,21,-60.8333333333333,45.3166666666667,"small",0,5.2,14.2299995422363,"OISST",-44.7,100370
"2000_154477_4_9_23",2000,9,23,-60.8333333333333,45.3166666666667,"small",0,9.4,12.5599994659424,"OISST",-44.7,101912
"2000_154477_5_9_25",2000,9,25,-60.8333333333333,45.3166666666667,"small",0,20,12.3499994277954,"OISST",-44.7,101027
"2000_154477_6_9_26",2000,9,26,-60.8333333333333,45.3166666666667,"small",0,11,12.4499998092651,"OISST",-44.7,101732
"2000_154477_7_9_28",2000,9,28,-60.8333333333333,45.3166666666667,"small",0,10,12.4200000762939,"OISST",-44.7,101732
"2000_154477_8_9_29",2000,9,29,-60.8333333333333,45.3166666666667,"small",0,4,11.9399995803833,"OISST",-44.7,102637
"2000_154477_9_10_16",2000,10,16,-60.8333333333333,45.3166666666667,"small",0,21,11.0999994277954,"OISST",-44.7,102487
"2000_154486_2_10_17",2000,10,17,-60.8333333333333,45.3166666666667,"small",0,8,11.0100002288818,"OISST",-44.7,102667
"2000_154486_3_10_24",2000,10,24,-60.8333333333333,45.3166666666667,"small",0,8,11.2799997329712,"OISST",-44.7,102657
"2000_154486_4_10_25",2000,10,25,-60.8333333333333,45.3166666666667,"small",0,8,11.3000001907349,"OISST",-44.7,102212
"2000_154486_5_10_26",2000,10,26,-60.8333333333333,45.3166666666667,"small",0,6,11.1099996566772,"OISST",-44.7,102390
"2000_154486_6_10_27",2000,10,27,-61.35,45.1,"small",0,8,10.7799997329712,"OISST",-48.5,102060
"2000_154518_2_8_18",2000,8,18,-65.55,42.0833333333333,"small",0,24,16.7899990081787,"OISST",-550.6,101567
"2000_155036_2_8_12",2000,8,12,-65.5166666666667,42.05,"small",0,12,16.6399993896484,"OISST",-883.5,101377
"2000_155036_3_10_24",2000,10,24,-63.5333333333333,44.3666666666667,"small",0,10,12.3099994659424,"OISST",-59.5,102657
"2000_155036_4_10_25",2000,10,25,-63.4833333333333,44.5,"small",0,10,12.5199995040894,"OISST",-53.2,102212
"2000_155036_5_10_26",2000,10,26,-63.4833333333333,44.5,"small",0,10,12.460000038147,"OISST",-53.2,102390
"2000_155036_6_10_27",2000,10,27,-63.5,44.3666666666667,"small",0,10,12.3899993896484,"OISST",-39.1,102060
"2000_155036_7_10_28",2000,10,28,-63.4833333333333,44.35,"small",0,4,12.3000001907349,"OISST",-53.5,100917
