"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy"
"207734",2007,10,2,-60.9333333333333,45.2333333333333,"small",0,6.5,11.1899995803833,"OISST",-47.4
"207754",2007,10,4,-64.2447222222222,44.2011111111111,"small",0,19.3333333333333,16.1800003051758,"OISST",-44.4
"207757",2007,10,3,-63.0833333333333,44.5902777777778,"small",0,15.5,14.4444444444444,"Field",-44.4
"20777",2002,8,13,-60.8333333333333,45.35,"small",0,18,15.1599998474121,"OISST",-46.5
"207809",2007,10,2,-60.9333333333333,45.2333333333333,"small",0,12,11.1899995803833,"OISST",-47.4
"207810",2007,10,3,-63.1223611111111,44.6123611111111,"small",0,17,16.3099994659424,"OISST",-42.7
"207824",2007,10,2,-63.0416666666667,44.6166666666667,"small",0,16,15.4399995803833,"OISST",-38.7
"207826",2007,10,2,-63.1808333333333,44.5666666666667,"small",0,16,15.8333333333333,"Field",-50.3
"207832",2007,10,2,-60.8869444444444,45.2777777777778,"small",0,8.5,11.1899995803833,"OISST",-29.7
"207841",2007,10,3,-64.1833333333333,44.1333333333333,"small",0,17,15,"Field",-70.1
"207852",2007,10,3,-60.8666666666667,45.2833333333333,"small",0,13.5,11.5599994659424,"OISST",-40.5
"207858",2007,10,2,-60.8666666666667,45.2666666666667,"small",0,12,11.1899995803833,"OISST",-50.6
"207860",2007,10,3,-60.9166666666667,45.2333333333333,"small",0,10,11.5599994659424,"OISST",-48
"207864",2007,10,3,-64.2333333333333,44.1833333333333,"small",0,24,16.3099994659424,"OISST",-48.3
"207876",2007,10,3,-63.1555555555556,44.6091666666667,"small",0,16.5,16.3099994659424,"OISST",-28.1
"207878",2007,10,3,-63.13625,44.6143055555556,"small",0,15.5,16.3099994659424,"OISST",-35.2
"207890",2007,10,3,-63.1347222222222,44.6272222222222,"small",0,16.5,16.3099994659424,"OISST",-27.9
"207896",2007,10,3,-61.2166666666667,45.0519444444444,"small",0,13.5,16.3099994659424,"OISST",-119.3
