"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"small","2002-23-08-70",2002,7,-200,NA,-69.8333333333333,43.5666666666667,0
"large","2002-23-08-70",2002,7,-200,NA,-69.8333333333333,43.5666666666667,1
"small","2002-23-08-71",2002,12,-190,20.56,-69.8333333333333,43.5666666666667,0
"large","2002-23-08-71",2002,12,-190,20.56,-69.8333333333333,43.5666666666667,1
"small","2002-23-08-72",2002,8,-180,NA,-69.8333333333333,43.6333333333333,0
"large","2002-23-08-72",2002,8,-180,NA,-69.8333333333333,43.6333333333333,2
"small","2002-23-08-73",2002,10,-186,NA,-69.8333333333333,43.65,0
"large","2002-23-08-73",2002,10,-186,NA,-69.8333333333333,43.65,1
"small","2002-23-08-74",2002,12,-220,NA,-69.8333333333333,43.65,0
"large","2002-23-08-74",2002,12,-220,NA,-69.8333333333333,43.65,0
"small","2002-23-08-75",2002,9,-265,18.89,-70.0833333333333,43.1666666666667,0
"large","2002-23-08-75",2002,9,-265,18.89,-70.0833333333333,43.1666666666667,1
"small","2002-23-08-78",2002,6,-150,19.44,-70.2833333333333,43.25,0
"large","2002-23-08-78",2002,6,-150,19.44,-70.2833333333333,43.25,1
"small","2002-23-08-79",2002,7,-180,21.11,-70.0833333333333,43.1666666666667,0
"large","2002-23-08-79",2002,7,-180,21.11,-70.0833333333333,43.1666666666667,0
"small","2002-23-08-80",2002,10,-215,NA,-69.9166666666667,43.5,0
"large","2002-23-08-80",2002,10,-215,NA,-69.9166666666667,43.5,0
"small","2002-23-08-81",2002,8,-200,18.89,-69.9166666666667,43.5,0
"large","2002-23-08-81",2002,8,-200,18.89,-69.9166666666667,43.5,0
"small","2002-23-08-82",2002,12,-200,NA,-69.9166666666667,43.5,0
"large","2002-23-08-82",2002,12,-200,NA,-69.9166666666667,43.5,0
"small","2002-23-08-83",2002,11,-195,19.44,-69.9166666666667,43.5,0
"large","2002-23-08-83",2002,11,-195,19.44,-69.9166666666667,43.5,0
"small","2002-23-08-84",2002,8,-200,19.44,-69.9166666666667,43.5,0
"large","2002-23-08-84",2002,8,-200,19.44,-69.9166666666667,43.5,0
"small","2002-23-08-85",2002,10,-220,21.11,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-85",2002,10,-220,21.11,-70.1666666666667,43.3333333333333,0
"small","2002-23-08-87",2002,9,-200,20.56,-70.2833333333333,43.25,0
"large","2002-23-08-87",2002,9,-200,20.56,-70.2833333333333,43.25,0
"small","2002-23-08-88",2002,8,-250,18.33,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-88",2002,8,-250,18.33,-70.1666666666667,43.3333333333333,1
"small","2002-23-08-91",2002,1,-200,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-91",2002,1,-200,NA,-70.1666666666667,43.3333333333333,1
"small","2002-23-08-92",2002,6,-210,17.78,-70.0833333333333,43.1666666666667,0
"large","2002-23-08-92",2002,6,-210,17.78,-70.0833333333333,43.1666666666667,0
"small","2002-23-08-94",2002,6,-200,NA,-69.9166666666667,43.5,0
"large","2002-23-08-94",2002,6,-200,NA,-69.9166666666667,43.5,0
"small","2002-23-08-95",2002,9,-200,NA,-69.9166666666667,43.5,0
"large","2002-23-08-95",2002,9,-200,NA,-69.9166666666667,43.5,0
"small","2002-23-08-97",2002,4,-200,NA,-69.9166666666667,43.5,0
"large","2002-23-08-97",2002,4,-200,NA,-69.9166666666667,43.5,0
"small","2002-23-08-99",2002,8,-255,18.33,-69.9166666666667,43.5,0
"large","2002-23-08-99",2002,8,-255,18.33,-69.9166666666667,43.5,0
"small","2002-23-09-129",2002,5,-220,NA,-69.9166666666667,43.5,0
"large","2002-23-09-129",2002,5,-220,NA,-69.9166666666667,43.5,0
"small","2002-23-09-131",2002,10,-200,18.33,-70.05,43.4166666666667,0
"large","2002-23-09-131",2002,10,-200,18.33,-70.05,43.4166666666667,0
"small","2002-23-09-135",2002,9,-200,18.33,-70.05,43.4166666666667,0
"large","2002-23-09-135",2002,9,-200,18.33,-70.05,43.4166666666667,0
"small","2002-23-09-136",2002,9,-240,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-09-136",2002,9,-240,NA,-70.1666666666667,43.3333333333333,0
"small","2002-23-09-137",2002,4,-220,15.56,-70.1666666666667,43.3333333333333,0
"large","2002-23-09-137",2002,4,-220,15.56,-70.1666666666667,43.3333333333333,1
"small","2002-254301",2002,4,-74,16.67,-75.1666666666667,37.4166666666667,0
"large","2002-254301",2002,4,-74,16.67,-75.1666666666667,37.4166666666667,0
"small","2002-255203",2002,8,-110,20,-75.5,36.5833333333333,7
"large","2002-255203",2002,8,-110,20,-75.5,36.5833333333333,0
