"","X","id","day","year","month","lat","lon","fhours","STATE","triptype","target","lines","giant_bft","school_bft","large_med_bft","small_med_bft","large_school_bft","young_school_bft","school_or_lgschool_bft","depth","Decade","date","temp","Size","fishery","catch","SSTemp"
"84",67444,"AZ310502",27,1997,7,43.25,-69.35,6,"ME","PR","Large_BFT",4,1,0,0,0,0,0,0,-168,19,1997-07-27,14.7499996703118,"giant","Large_BFT",1,14.7499996703118
"85",67445,"AZ310503",27,1997,7,43.25,-69.35,8,"ME","PR","Large_BFT",4,1,0,0,0,0,0,0,-168,19,1997-07-27,14.7499996703118,"giant","Large_BFT",1,14.7499996703118
"86",67452,"AZ410304",31,1997,7,43.1,-70.5,8,"ME","PR","Large_BFT",3,1,0,0,0,0,0,0,-59,19,1997-07-31,15.6599996499717,"giant","Large_BFT",1,15.6599996499717
"87",67489,"BA310101",13,1997,9,43.3,-69.25,3,"ME","PR","Large_BFT",4,1,0,0,0,0,0,0,-162,19,1997-09-13,14.5599996745586,"giant","Large_BFT",1,14.5599996745586
"88",68690,"BL210304",1,1997,7,41.4,-69.55,10,"MA","PR","Large_BFT",5,1,0,0,0,0,0,0,-30,19,1997-07-01,16.7799996249378,"giant","Large_BFT",1,16.7799996249378
"89",68728,"BL410102",14,1997,7,41.4,-69.55,6,"MA","CH","Large_BFT",3,1,0,0,0,0,0,0,-30,19,1997-07-14,19.0799995735288,"giant","Large_BFT",1,19.0799995735288
"90",68729,"BL410103",14,1997,7,41.4,-69.55,10,"MA","PR","Large_BFT",5,1,0,0,0,0,0,0,-30,19,1997-07-14,19.0799995735288,"giant","Large_BFT",1,19.0799995735288
"91",68736,"BN310106",18,1997,7,41.5,-69.25,9,"MA","PR","Large_BFT",5,1,0,0,0,0,0,0,-128,19,1997-07-18,19.0799995735288,"giant","Large_BFT",1,19.0799995735288
"92",68737,"BP310401",18,1997,7,42.25,-70.25,3,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-27,19,1997-07-18,18.4299995880574,"giant","Large_BFT",1,18.4299995880574
"93",68755,"BN410101",21,1997,7,42.1,-70.15,9,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-6,19,1997-07-21,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"94",68756,"BN410102",21,1997,7,42.1,-70.15,2,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-6,19,1997-07-21,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"95",68757,"BN410103",21,1997,7,42.1,-70.15,2,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-6,19,1997-07-21,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"96",68763,"BK410302",24,1997,7,42.24,-70.3,1,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-32,19,1997-07-24,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"97",68766,"BR310102",26,1997,7,42.1,-70.15,7,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-6,19,1997-07-26,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"98",68768,"BR310104",26,1997,7,42.25,-70.25,7,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-27,19,1997-07-26,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"99",68772,"BR310108",26,1997,7,42.1,-70.15,4,"MA","CH","Large_BFT",3,1,0,0,0,0,0,0,-6,19,1997-07-26,17.1199996173382,"giant","Large_BFT",1,17.1199996173382
"100",68782,"BN210101",28,1997,7,42.1,-70.2,4,"MA","CH","Large_BFT",2,1,0,0,0,0,0,0,-3,19,1997-07-28,16.6099996287376,"giant","Large_BFT",1,16.6099996287376
"101",68788,"BQ410101",29,1997,7,42.55,-70.1,7,"MA","PR","Large_BFT",5,1,0,0,0,0,0,0,-102,19,1997-07-29,16.6099996287376,"giant","Large_BFT",1,16.6099996287376
"102",68794,"BR410301",29,1997,7,42.1,-70.15,2,"MA","PR","Large_BFT",5,1,0,0,0,0,0,0,-6,19,1997-07-29,16.6099996287376,"giant","Large_BFT",1,16.6099996287376
"103",68795,"BR410302",29,1997,7,42.1,-70.15,6,"MA","PR","Large_BFT",2,1,0,0,0,0,0,0,-6,19,1997-07-29,16.6099996287376,"giant","Large_BFT",1,16.6099996287376
"104",68796,"BR410303",29,1997,7,42.25,-70.25,10,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-27,19,1997-07-29,16.6099996287376,"giant","Large_BFT",1,16.6099996287376
