tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,6,24,MD,6,0,6,6,HOT DOG,6447,24,1651,1107,0853,3,1,2,1,3,1,1630,4711,9996,2,2,9,8,0,1,1,1,0,0,0,4,3811,7424,38,180,71,2,1,1,mdoc1107.tif,00045204.tif,2011,0,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,105,0,,Y,2,,2011-154603
15,6,10,DE,6,0,6,6,BALTIMORE CANYON,6447,24,1709,1107,0853,3,1,2,2,3,1,1700,4711,9996,2,2,6,6,0,1,1,1,0,0,0,2,3814,7350,60,720,73,2,2,2,mdoc1107.tif,00045206.tif,2011,1,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,109,0,,Y,2,,2011-154604
15,6,24,MD,6,0,6,6,BALTIMORE CANYON,6447,24,1726,1107,0853,3,1,1,2,2,1,1715,4711,2161,2,2,8,9,0,1,1,1,0,0,0,5,3814,7350,58,1200,75,2,1,2,mdoc1107.tif,00045207.tif,2011,0,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,106,0,,Y,2,,2011-154605
15,6,51,VA,6,0,6,6,BALTIMORE CANYON,6447,24,1857,1107,0853,3,1,2,1,3,1,1830,4711,1050,2,2,10,8,0,1,1,1,0,0,0,4,3806,7349,80,6000,73,2,2,1,mdoc1107.tif,00045208.tif,2011,0,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,104,0,,Y,1,,2011-154606
15,6,10,DE,6,0,6,6,ELEPHANT TRUNK,6447,24,1932,1107,0853,3,1,2,1,3,1,1900,4711,1050,2,12,8,9,0,1,1,1,0,0,0,6,3835,7405,62,280,74,2,1,1,mdoc1107.tif,00045210.tif,2011,0,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,103,0,,Y,1,,2011-154607
15,6,12,FL,6,0,6,6,POOR MANS CANYON,6936,24,1515,1206,1493,5,1,2,1,3,6,1445,7777,9996,2,12,8,7,0,1,1,1,0,0,0,6,3752,7406,55,600,71,1,1,2,mdoc1206.tif,00045214.tif,2011,0,1,0,10,08,18908,1547,0471493,047,ORIGINAL,7,129,0,,N,2,,2011-154701
15,6,12,FL,6,0,6,CASTING,BALTIMORE CANYON,6936,24,1600,1206,1493,5,1,1,2,2,2,1545,4656,9996,2,12,6,6,0,1,1,1,0,0,1,3,3814,7350,50,240,69,2,1,1,mdoc1206.tif,00045215.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,124,0,,N,1,,2011-154702
15,6,24,MD,6,0,6,CASTING,SPENCER CANYON,6936,24,1650,1206,1493,5,1,1,2,2,1,1640,4656,9996,2,12,12,12,0,1,1,1,0,1,1,4,9998,9998,89,360,69,2,1,1,mdoc1206.tif,00045217.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,127,0,,Y,2,,2011-154703
15,6,10,DE,6,0,6,6,HOT DOG,6936,24,1735,1206,1493,5,1,2,1,3,1,1710,7777,9996,2,2,10,9,0,1,1,1,0,0,0,5,3806,7417,40,210,72,1,1,1,mdoc1206.tif,00045219.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,122,0,,Y,1,,2011-154704
15,6,37,NC,6,0,6,6,POOR MANS CANYON,6936,24,1750,1206,1493,5,1,2,1,3,1,1720,7777,9996,2,12,8,7,0,1,1,1,0,0,0,6,3752,7406,60,480,73,1,1,2,mdoc1206.tif,00045221.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,126,0,,Y,2,,2011-154705
