intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,curvey,lenth,q11a,s_index,serrflag,sprobfld,id
6783,2,1,2017,06,27,035501,0051599,0,0,10,01,2205,1,DEJN2205.pdf,00109604.tif,ORIGINAL,1050,0355,9996,9996,923,2,9996,0,1,,,2,3,0,,2017-035501
7662,2,1,2017,06,01,002902,8100387,0,1,51,02,2108,1,VAJN2108.pdf,00107826.tif,ORIGINAL,1050,0029,9996,9996,951,2,9996,0,1,,,3,45,0,,2017-002902
7661,3,1,2017,06,11,014005,8100088,0,0,51,05,1205,1,VAJN1205.pdf,00108310.tif,ORIGINAL,1050,0140,9996,9996,961,2,9996,0,5,,,3,39,0,,2017-014005
6633,1,1,2017,06,04,004201,8100091,0,0,51,01,1101,1,VAJN1101.pdf,00107865.tif,ORIGINAL,1050,0042,9996,9996,1000,1,9996,0,4,,,2,21,0,,2017-004201
6416,6,1,2017,06,17,026305,0259005,0,0,34,05,1115,1,NJJN1115.pdf,00109019.tif,ORIGINAL,3531,0263,9996,9996,1723,2,9996,0,1,,,2,68,0,,2017-026305
6416,6,1,2017,06,25,034109,0251050,0,0,34,09,1116,1,NJJN1116.pdf,00109522.tif,ORIGINAL,3531,0341,9996,9996,1928,2,9996,0,1,,,2,70,0,,2017-034109
6416,6,1,2017,06,17,026309,0251050,0,0,34,09,1115,1,NJJN1115.pdf,00109027.tif,ORIGINAL,3531,0263,9996,9996,2208,2,9996,0,1,,,3,69,0,,2017-026309
6783,8,3,2017,06,01,003001,0010039,0,0,51,01,2109,1,VAJN2109.pdf,00107830.tif,ORIGINAL,3531,0030,9996,9996,2251,1,9996,0,1,,,2,72,0,,2017-003001
6416,10,1,2017,06,10,015601,0299245,0,0,34,01,1114,1,NJJN1114.pdf,00108405.tif,ORIGINAL,3531,0156,9996,9996,2327,2,9996,0,1,,,2,67,0,,2017-015601
7466,4,1,2017,06,17,025312,1030085,0,0,36,12,1210,1,NYJN1210.pdf,00108974.tif,ORIGINAL,3531,0253,9996,9996,2414,2,9996,0,1,,,1,71,0,,2017-025312
