tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,filestat,s_index,serrflag,sprobfld,id
06,9996,9996,1043,1,9996,6757,2,4,2011,07,30,1030373,0,0,36,0,1117,1,nyjl1117.tif,00039931.tif,1050,0664,0,1,ORIGINAL,139,0,,2011-066401
03,9996,9996,1044,2,9996,6416,10,1,2011,07,01,0290894,0,0,34,0,2101,1,njjl2101.tif,00037484.tif,1050,0352,0,7,ORIGINAL,81,0,,2011-035201
03,9996,9996,1047,1,9996,6478,2,1,2011,07,02,0051599,0,0,10,1,1202,1,dejl1202.tif,00037932.tif,1050,0396,0,2,ORIGINAL,6,0,,2011-039610
05,9996,9996,1052,1,9996,6590,1,1,2011,07,16,8100002,0,0,51,0,1105,1,vajl1105.tif,00039061.tif,1050,0545,0,2,ORIGINAL,180,0,,2011-054504
04,9996,9996,1069,1,9996,6633,1,1,2011,07,09,8100091,0,0,51,0,1104,1,vajl1104.tif,00038040.tif,1050,0432,0,2,ORIGINAL,188,0,,2011-043205
05,9996,9996,1071,1,9996,6708,3,1,2011,07,24,0090385,0,0,34,0,1208,1,njjl1208.tif,00039441.tif,1050,0595,0,2,ORIGINAL,104,0,,2011-059501
05,9996,9996,1072,1,9996,6013,10,1,2011,07,16,0290894,0,0,34,0,1214,1,njjl1214.tif,00038927.tif,1050,0521,0,1,ORIGINAL,78,0,,2011-052102
04,9996,9996,1081,2,9996,6633,1,1,2011,07,09,8100091,0,0,51,0,1104,1,vajl1104.tif,00038040.tif,1050,0432,0,1,ORIGINAL,187,0,,2011-043205
04,9996,9996,1082,1,9996,7393,2,1,2011,07,01,8100265,0,0,51,0,2110,1,vajl2110.tif,00038302.tif,1050,0460,0,5,ORIGINAL,257,0,,2011-046002
04,9996,9996,1096,1,9996,7392,1,1,2011,07,06,8100091,0,0,51,0,2206,1,vajl2206.tif,00038344.tif,1050,0465,0,1,ORIGINAL,242,0,,2011-046501
03,9996,9996,1097,1,9996,7393,1,1,2011,07,02,8100002,0,0,51,0,1109,1,vajl1109.tif,00037081.tif,1050,0317,0,1,ORIGINAL,250,0,,2011-031703
03,9996,9996,1098,1,9996,7393,1,1,2011,07,02,8100091,0,1,51,0,1109,1,vajl1109.tif,00037093.tif,1050,0317,0,1,ORIGINAL,251,0,,2011-031709
06,9996,9996,1114,2,9996,6936,5,1,2011,07,30,0471493,0,0,24,1,1103,1,mdjl1103.tif,00039836.tif,1050,0655,0,2,ORIGINAL,56,0,,2011-065512
05,9996,9996,1160,1,9996,6633,3,1,2011,07,19,8100088,0,0,51,0,2204,1,vajl2204.tif,00039218.tif,1050,0560,0,1,ORIGINAL,196,1,LENGTH;,2011-056003
03,9996,9996,1214,1,9996,6013,10,1,2011,07,10,0299118,0,0,34,0,1113,1,njjl1113.tif,00037753.tif,1050,0388,0,1,ORIGINAL,75,1,LENGTH;,2011-038803
06,9996,9996,1220,7,9996,7370,3,1,2011,07,23,0090900,0,1,34,0,1104,1,njjl1104.tif,00039565.tif,1050,0614,7,1,ORIGINAL,125,1,LENGTH;,2011-061405
04,9996,9996,1456,1,9996,6416,6,1,2011,07,09,0251050,0,0,34,0,1108,1,njjl1108.tif,00038079.tif,1050,0441,0,1,ORIGINAL,83,1,LENGTH;,2011-044102
05,9996,9996,1482,8,9996,7379,3,1,2011,07,23,0470853,1,1,24,1,1205,1,mdjl1205.tif,00039380.tif,1050,0590,0,2,ORIGINAL,74,1,LENGTH;,2011-059010
04,9996,9996,1112,6,9996,6778,7,1,2011,07,08,0010025,0,1,51,0,2116,1,vajl2116.tif,00038312.tif,1940,0461,0,1,ORIGINAL,262,1,LENGTH;,2011-046103
04,9996,9996,1614,2,9996,6855,1,4,2011,07,02,0590626,0,0,36,0,1107,1,nyjl1107.tif,00038167.tif,3531,0449,0,1,ORIGINAL,266,0,,2011-044902
03,9996,9996,1645,1,9996,6982,4,1,2011,07,02,1030133,0,0,36,0,1201,1,nyjl1201.tif,00037551.tif,3531,0360,0,1,ORIGINAL,268,0,,2011-036002
03,9996,9996,1847,2,9996,6757,2,1,2011,07,02,1031780,0,0,36,0,1206,1,nyjl1206.tif,00038660.tif,3531,0321,0,1,ORIGINAL,263,0,,2011-032104
03,9996,9996,1998,2,9996,6858,3,1,2011,07,05,1030589,0,0,36,0,2107,1,nyjl2107.tif,00037139.tif,3531,0324,0,1,ORIGINAL,267,0,,2011-032403
04,9996,9996,2211,2,9996,6593,11,1,2011,07,10,0090033,0,0,44,0,1209,1,rijl1209.tif,00038476.tif,3531,0481,0,1,ORIGINAL,270,0,,2011-048107
04,9996,9996,2300,2,9996,6982,4,1,2011,07,09,1030085,0,0,36,0,1103,1,nyjl1103.tif,00038182.tif,3531,0448,0,1,ORIGINAL,269,0,,2011-044801
05,9996,9996,2310,2,9996,6835,4,1,2011,07,16,1030085,0,1,36,0,1113,1,nyjl1113.tif,00038969.tif,3531,0527,0,1,ORIGINAL,264,0,,2011-052706
03,9996,9996,2349,2,9996,6855,1,1,2011,07,05,0590624,0,0,36,0,2101,1,nyjl2101.tif,00037130.tif,3531,0323,0,1,ORIGINAL,265,0,,2011-032301
04,9996,9996,1359,2,9996,6855,1,4,2011,07,02,0590626,0,0,36,0,1107,1,nyjl1107.tif,00038165.tif,3551,0449,0,1,ORIGINAL,285,1,LENGTH;,2011-044901
04,9996,9996,1416,2,9996,6013,10,1,2011,07,09,0299009,0,0,34,0,1110,1,njjl1110.tif,00037877.tif,3551,0415,0,1,ORIGINAL,275,0,,2011-041502
05,9996,9996,1448,1,9996,7352,3,1,2011,07,15,0090900,0,0,34,0,2119,1,njjl2119.tif,00038712.tif,3551,0523,0,2,ORIGINAL,280,0,,2011-052303
04,9996,9996,1534,1,9996,6590,1,1,2011,07,03,8100091,0,0,51,0,1201,1,vajl1201.tif,00038141.tif,3551,0433,0,1,ORIGINAL,295,0,,2011-043302
04,9996,9996,1542,2,9996,6615,3,1,2011,07,10,1030175,0,0,36,0,1111,1,nyjl1111.tif,00037999.tif,3551,0426,0,1,ORIGINAL,281,0,,2011-042603
06,9996,9996,1562,2,9996,6757,2,4,2011,07,31,1030373,0,0,36,0,1121,1,nyjl1121.tif,00040164.tif,3551,0684,0,1,ORIGINAL,284,0,,2011-068409
03,9996,9996,1600,1,9996,7326,3,1,2011,07,02,0470853,0,0,24,0,1201,1,mdjl1201.tif,00037203.tif,3551,0335,0,1,ORIGINAL,273,0,,2011-033504
03,9996,9996,1601,1,9996,6416,10,1,2011,07,01,0290894,0,0,34,0,2101,1,njjl2101.tif,00037484.tif,3551,0352,0,6,ORIGINAL,279,0,,2011-035201
06,9996,9996,1607,2,9996,6855,1,4,2011,07,27,0590626,0,0,36,0,2113,1,nyjl2113.tif,00039726.tif,3551,0639,0,1,ORIGINAL,286,0,,2011-063901
06,9996,9996,1667,2,9996,6757,2,4,2011,07,30,1030373,0,0,36,0,1117,1,nyjl1117.tif,00039933.tif,3551,0664,0,1,ORIGINAL,282,0,,2011-066402
04,9996,9996,1702,2,9996,6982,4,1,2011,07,09,1030085,0,0,36,0,1103,1,nyjl1103.tif,00038190.tif,3551,0448,0,1,ORIGINAL,289,0,,2011-044805
06,9996,9996,1709,1,9996,6757,2,1,2011,07,31,1031780,0,0,36,0,1121,1,nyjl1121.tif,00040153.tif,3551,0684,0,1,ORIGINAL,283,0,,2011-068402
