tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
15,6416,6,1,2012,09,02,0251808,0,0,34,07,1111,2,njse1111.tif,00056583.tif,ORIGINAL,DOLPHIN,1050,1556,1,6,0,0,0,0,0,477,0,,2012-155607
15,6416,6,1,2012,09,03,0251050,0,0,34,01,1113,2,njse1113.tif,00056589.tif,ORIGINAL,YFT,4711,1557,1,4,4,0,0,0,0,478,0,,2012-155701
15,6416,6,1,2012,09,12,0251050,0,0,34,01,2115,1,njse2115.tif,00056595.tif,ORIGINAL,DOLPHIN,1050,1558,2,2,0,0,0,0,0,479,0,,2012-155801
15,6416,6,1,2012,09,12,0251050,0,0,34,01,2115,1,njse2115.tif,00056595.tif,ORIGINAL,LITTLE TUNNY,4681,1558,1,2,2,13,0,0,0,480,0,,2012-155801
15,6416,6,1,2012,09,14,0251050,1,0,34,01,2208,1,njse2208.tif,00056601.tif,ORIGINAL,BIGEYE TUNA,4691,1559,1,1,1,0,0,0,0,481,0,,2012-155901
15,6416,6,1,2012,09,14,0251050,0,0,34,02,2208,1,njse2208.tif,00056603.tif,ORIGINAL,DOLPHIN,1050,1559,1,1,1,0,0,0,0,482,0,,2012-155902
15,6416,6,1,2012,09,14,0251050,0,0,34,03,2208,2,njse2208.tif,00056605.tif,ORIGINAL,DOLPHIN,1050,1559,2,4,0,0,0,0,0,483,0,,2012-155903
15,6416,6,1,2012,09,14,0251050,0,0,34,03,2208,2,njse2208.tif,00056605.tif,ORIGINAL,SHORTFIN MAKO S,3551,1559,3,1,0,0,0,0,0,484,0,,2012-155903
15,6416,6,1,2012,09,14,0251050,0,0,34,03,2208,2,njse2208.tif,00056605.tif,ORIGINAL,YFT,4711,1559,1,1,0,0,0,0,0,485,0,,2012-155903
15,6416,6,1,2012,09,14,0251808,0,0,34,05,2208,2,njse2208.tif,00056608.tif,ORIGINAL,WHITE MARLIN,2161,1559,3,0,0,2,0,0,0,486,0,,2012-155905
15,6416,6,1,2012,09,14,0251808,0,0,34,05,2208,2,njse2208.tif,00056608.tif,ORIGINAL,BLUE MARLIN,2171,1559,4,0,0,1,0,0,0,487,0,,2012-155905
15,6416,6,1,2012,09,14,0251808,0,0,34,05,2208,2,njse2208.tif,00056608.tif,ORIGINAL,SWORDFISH,4328,1559,2,1,0,0,0,0,0,488,0,,2012-155905
15,6416,6,1,2012,09,14,0251808,0,0,34,05,2208,2,njse2208.tif,00056608.tif,ORIGINAL,YFT,4711,1559,1,1,0,0,0,0,0,489,0,,2012-155905
15,6416,6,1,2012,09,14,0251050,0,0,34,06,2208,2,njse2208.tif,00056610.tif,ORIGINAL,BLUE SHARK,4931,1559,1,0,0,1,0,0,0,490,0,,2012-155906
15,6416,6,1,2012,09,14,0259125,0,0,34,07,2208,1,njse2208.tif,00056612.tif,ORIGINAL,DOLPHIN,1050,1559,2,1,0,0,0,0,0,491,0,,2012-155907
15,6416,6,1,2012,09,14,0259125,0,0,34,07,2208,1,njse2208.tif,00056612.tif,ORIGINAL,SAND TILEFISH,4450,1559,3,2,2,0,0,0,0,492,1,CAUGHT OUT OF AREA;RARE OR ILLEGAL SPECIES KEPT;,2012-155907
15,6416,6,1,2012,09,14,0259125,0,0,34,07,2208,1,njse2208.tif,00056612.tif,ORIGINAL,GOLDEN TILEFISH,4467,1559,4,5,5,0,0,0,0,493,0,,2012-155907
15,6416,6,1,2012,09,14,0259125,0,0,34,07,2208,1,njse2208.tif,00056612.tif,ORIGINAL,YFT,4711,1559,1,1,1,0,0,0,0,494,0,,2012-155907
15,6416,6,1,2012,09,14,0259005,0,0,34,08,2208,2,njse2208.tif,00056614.tif,ORIGINAL,ALBACORE TUNA,4701,1559,2,1,0,0,0,0,0,495,0,,2012-155908
15,6416,6,1,2012,09,14,0259005,0,0,34,08,2208,2,njse2208.tif,00056614.tif,ORIGINAL,YFT,4711,1559,1,4,0,0,0,0,0,496,0,,2012-155908
15,6416,6,1,2012,09,14,0259005,0,0,34,09,2208,2,njse2208.tif,00056616.tif,ORIGINAL,DOLPHIN,1050,1559,4,5,0,0,0,0,0,497,0,,2012-155909
15,6416,6,1,2012,09,14,0259005,0,0,34,09,2208,2,njse2208.tif,00056616.tif,ORIGINAL,SWORDFISH,4328,1559,1,1,0,2,0,0,0,498,0,,2012-155909
15,6416,6,1,2012,09,14,0259005,0,0,34,09,2208,2,njse2208.tif,00056616.tif,ORIGINAL,ALBACORE TUNA,4701,1559,3,1,0,0,0,0,0,499,0,,2012-155909
15,6416,6,1,2012,09,14,0259005,0,0,34,09,2208,2,njse2208.tif,00056616.tif,ORIGINAL,YFT,4711,1559,2,5,0,0,0,0,0,500,0,,2012-155909
15,6416,6,1,2012,09,14,0251808,0,0,34,10,2208,1,njse2208.tif,00056618.tif,ORIGINAL,SKIPJACK TUNA,4661,1559,2,0,0,6,0,0,0,501,0,,2012-155910
15,6416,6,1,2012,09,14,0251808,0,0,34,10,2208,1,njse2208.tif,00056618.tif,ORIGINAL,YFT,4711,1559,1,5,2,0,0,0,0,502,0,,2012-155910
15,6416,6,1,2012,09,14,0251050,0,0,34,11,2208,2,njse2208.tif,00056620.tif,ORIGINAL,DOLPHIN,1050,1559,2,2,0,0,0,0,0,503,0,,2012-155911
