tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,BOUY LINE,2008-005401,005401,6788,17690,06,07,2008,1510,10,1201,01,005,1599,0051599,2,1,2,1,1,3,1,1,2,DE,10,1500,3551,9996,2,6,2,6,7,8,0,0,1,0,0,1,0,6,6,9998,9998,16,90,60,1,2,2,2,6,6,,,,,
6,BOUY LINE,2008-005402,005402,6788,17690,06,07,2008,1715,10,1201,02,005,1599,0051599,2,1,1,2,1,2,1,6,1,DE,10,1700,3531,9996,2,6,12,6,4,7,0,0,1,0,0,1,0,6,4,9998,9998,13,80,62,1,2,1,2,6,6,,,,,
6,BOUY LINE,2008-005403,005403,6788,17690,06,07,2008,1745,10,1201,03,005,1599,0051599,2,1,1,2,1,2,1,2,1,DE,10,1745,3531,9996,2,6,2,6,3,8,0,0,1,0,1,0,0,6,3,9998,9998,10,70,62,1,2,2,2,6,6,,,,,
6,B BOUY,2008-005501,005501,6788,17689,06,06,2008,1600,10,2104,01,005,1599,0051599,2,1,1,2,1,2,1,8,1,MD,24,1430,3531,3551,2,6,2,6,5,7,0,0,1,0,0,1,0,6,5,3849,7502,11,65,62,1,2,1,2,6,6,,,,,
MAKO MANIA,MASSEYS CANYON,2008-005502,005502,6788,17689,06,06,2008,1645,10,2104,02,005,1599,0051599,2,1,1,2,1,2,6,2,1,DE,10,1645,3551,4931,1,T500,2,6,4,8,0,0,1,0,1,1,0,6,4,3825,7420,35,120,59,1,2,1,2,6,6,,,,,
6,CHICKEN BONE,2008-005503,005503,6788,17689,06,06,2008,1705,10,2104,03,005,1599,0051599,2,1,1,2,1,3,2,1,2,DE,10,1600,3551,9996,2,6,2,6,4,8,0,0,1,0,0,1,0,6,4,3815,7428,30,130,62,1,2,1,2,6,6,,,,,
6,STELLWAGEN BANK,2008-005601,005601,6806,17691,06,08,2008,1820,25,1101,01,009,0024,0090024,15,1,1,2,1,2,1,1,6,MA,25,1800,4677,9996,2,6,2,6,4,8,0,1,0,1,0,0,0,6,2,4216,7017,998,99998,55,2,2,2,2,6,6,,,,,
6,20 FATHOM FINGERS,2008-005801,005801,6555,17690,06,07,2008,1505,24,1105,01,047,0856,0470856,4,3,1,2,1,3,1,2,1,MD,24,1500,3591,9996,2,6,2,6,4,5,0,0,1,0,0,1,0,6,3,3812,7437,28,120,66,1,2,1,2,6,6,,,,,
6,JACKSPOT,2008-005802,005802,6555,17690,06,07,2008,1525,24,1105,02,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1520,3551,3531,2,6,2,6,5,6,0,0,1,0,0,1,0,6,3,3805,7445,23,80,68,1,1,1,2,6,6,,,,,
6,JACKSPOT,2008-005803,005803,6555,17690,06,07,2008,1535,24,1105,03,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1530,3551,3531,2,6,1,6,5,6,0,0,1,0,0,1,0,6,3,3805,7445,26,70,67,1,2,2,2,6,6,,,,,
6,FENWICK SHOELS,2008-005804,005804,6555,17690,06,07,2008,1545,24,1105,04,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1540,3531,3591,2,6,12,6,3,9,0,0,1,0,0,1,0,6,3,9998,9998,12,60,65,1,1,1,2,6,6,,,,,
6,20 FATHOM FINGERS,2008-005805,005805,6555,17690,06,07,2008,1600,24,1105,05,047,0856,0470856,4,3,1,1,1,2,1,2,1,MD,24,1555,3591,9996,2,6,2,6,3,5,0,0,1,0,0,1,0,6,4,3812,7437,30,120,68,1,2,1,2,6,6,,,,,
6,20 FATHOM FINGERS,2008-005806,005806,6555,17690,06,07,2008,1620,24,1105,06,047,0856,0470856,4,3,1,2,1,2,1,2,1,DE,10,1615,3551,4656,2,6,2,6,5,6,0,0,1,0,0,1,0,6,4,3812,7437,28,120,66,1,2,2,2,6,6,,,,,
6,JACKSPOT,2008-005807,005807,6555,17690,06,07,2008,1625,24,1105,07,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1620,3591,9996,2,6,12,6,4,8,0,0,1,0,0,1,0,6,5,3805,7445,28,100,66,1,2,1,2,6,6,,,,,
6,JACKSPOT,2008-005808,005808,6555,17690,06,07,2008,1640,24,1105,08,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1635,3551,9996,2,6,2,6,4,5,0,1,0,0,0,1,0,6,5,3805,7445,24,80,69,1,2,2,2,6,6,,,,,
6,20 FATHOM FINGERS,2008-005809,005809,6555,17690,06,07,2008,1720,24,1105,09,047,0856,0470856,4,3,1,2,1,2,7,2,1,MD,24,1715,3551,230,2,6,2,6,3,8,0,0,1,0,0,1,0,6,4,3812,7437,30,160,65,1,2,1,2,6,6,,,,,
6,JACKSPOT,2008-005810,005810,6555,17690,06,07,2008,1805,24,1105,10,047,0856,0470856,4,3,1,1,1,2,7,2,1,MD,24,1800,3551,3531,2,6,2,6,3,6,0,0,1,0,0,1,0,6,3,3805,7445,18,100,64,1,2,1,2,6,6,,,,,
7,MARINE ELECTRIC,2008-005811,005811,6555,17690,06,07,2008,1825,24,1105,11,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1815,3551,3531,1,T500,2,6,6,8,0,0,1,0,0,1,0,6,4,3750,7440,30,140,68,1,2,1,2,6,6,,,,,
