tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
070608,,34,NJ,GOVERNORS CUP MRMTC,08,6,6,SPENCER CANYON,6416,34,1920,1207,1050,6,1,1,2,2,1,1900,4711,4656,1,1,8,7,0,1,1,1,0,0,0,4,3840,7305,88,300,78,1,1,1,NJJL1207.pdf,00111678.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,43,1,tcode;,Y,1,,2017-070608
070609,6,34,NJ,6,09,6,6,WILMINGTON CANYON,6416,34,1956,1207,1808,6,1,1,2,3,2,1900,4711,2161,2,2,9,9,0,1,1,1,0,0,0,4,3824,7327,80,1500,75,1,2,1,NJJL1207.pdf,00111680.tif,2017,0,1,0,ORIGINAL,07,16,21016,0706,0251808,025,5,679,0,,Y,2,,2017-070609
070701,6,34,NJ,6,01,6,6,HUDSON CANYON,7693,34,1710,1222,0894,10,1,2,1,3,1,1655,4679,1050,2,1,3,4,0,0,1,0,0,1,0,3,3930,7220,90,600,75,1,1,1,NJJL1222.pdf,00111686.tif,2017,0,1,0,ORIGINAL,07,16,21016,0707,0290894,029,5,702,0,,Y,2,,2017-070701
070702,6,34,NJ,6,02,6,6,BACARDI WRECK,7693,34,1750,1222,0894,10,1,1,2,2,1,1740,4679,1050,2,2,8,8,0,1,1,1,0,0,0,3,3950,7245,75,250,74,2,1,1,NJJL1222.pdf,00111688.tif,2017,0,0,0,ORIGINAL,07,16,21016,0707,0290894,029,5,703,0,,Y,2,,2017-070702
070703,6,34,NJ,6,03,6,6,LINDEN FALLS,7693,34,1815,1222,4283,10,1,1,2,2,1,1800,4679,1050,2,2,8,8,0,0,1,1,0,0,0,6,9998,9998,90,250,82,1,1,1,NJJL1222.pdf,00111690.tif,2017,0,1,0,ORIGINAL,07,16,21016,0707,0294283,029,5,701,0,,Y,2,,2017-070703
070704,6,34,NJ,6,04,6,6,HUDSON CANYON,7693,34,1835,1222,0193,10,1,1,2,3,1,1830,4679,1050,2,12,9,24,0,1,1,1,1,1,0,5,3930,7220,90,2000,72,1,1,1,NJJL1222.pdf,00111692.tif,2017,0,0,0,ORIGINAL,07,16,21016,0707,0290193,029,5,700,0,,Y,2,,2017-070704
071001,6,34,NJ,6,01,6,6,WILMINGTON CANYON,7508,34,1719,2121,1131,11,1,1,2,2,1,1700,4711,2161,2,2,10,7,0,1,1,1,0,0,0,5,3824,7327,80,1400,80,1,2,1,NJJL2121.pdf,00111702.tif,2017,0,0,0,ORIGINAL,07,18,21018,0710,0091131,009,5,722,0,,Y,2,,2017-071001
071002,6,34,NJ,6,02,6,6,HOT DOG,7508,34,1723,2121,1131,11,1,1,2,2,1,1715,4656,2171,2,2,7,7,0,1,1,1,0,0,0,7,3806,7417,35,200,98,1,1,1,NJJL2121.pdf,00111704.tif,2017,0,0,0,ORIGINAL,07,18,21018,0710,0091131,009,5,720,0,,Y,2,,2017-071002
071003,6,34,NJ,6,03,6,6,HOT DOG,7508,34,1737,2121,1671,11,1,2,2,3,1,1733,4711,4678,2,1,5,12,0,0,1,0,0,1,0,4,3806,7417,40,125,75,1,2,1,NJJL2121.pdf,00111706.tif,2017,0,0,0,ORIGINAL,07,18,21018,0710,0091671,009,5,721,0,,Y,2,,2017-071003
071201,6,36,NY,6,01,6,6,TEN MILES S MO,7684,36,1640,2106,0133,5,1,2,1,3,7,1630,3551,3531,2,1,3,6,0,0,1,0,1,1,0,3,4045,7205,10,175,71,1,1,1,NYJL2106.pdf,00111714.tif,2017,0,1,0,ORIGINAL,07,17,21017,0712,1030133,103,4,785,0,,Y,2,,2017-071201
