intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,filestat,s_index,serrflag,sprobfld,id
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,694,8,9996,0,6,ORIGINAL,106,0,,2011-010704
6778,8,1,2011,06,24,027602,0010039,0,0,51,02,2105,1,vajn2105.tif,00036786.tif,1050,0276,9996,9996,694,1,9996,0,2,ORIGINAL,109,0,,2011-027602
6778,7,1,2011,06,26,029403,0010024,0,1,51,03,1108,1,vajn1108.tif,00036939.tif,1050,0294,9996,9996,694,1,9996,0,5,ORIGINAL,130,0,,2011-029403
6633,3,1,2011,06,26,025103,8100088,0,0,51,03,1208,1,vajn1208.tif,00036503.tif,1050,0251,9996,9996,696,2,9996,0,3,ORIGINAL,98,0,,2011-025103
6633,3,1,2011,06,22,022902,8100088,0,0,51,02,2215,1,vajn2215.tif,00036307.tif,1050,0229,9996,9996,701,2,9996,0,1,ORIGINAL,93,0,,2011-022902
6778,7,1,2011,06,26,029403,0010024,0,1,51,03,1108,1,vajn1108.tif,00036939.tif,1050,0294,9996,9996,704,2,9996,0,4,ORIGINAL,129,0,,2011-029403
6590,3,1,2011,06,16,017701,8100088,0,0,51,01,2206,1,vajn2206.tif,00035905.tif,1050,0177,9996,9996,708,1,9996,0,1,ORIGINAL,73,0,,2011-017701
2836,1,1,2011,06,21,021601,8100091,0,0,51,01,2102,1,vajn2102.tif,00036157.tif,1050,0216,9996,9996,721,2,9996,0,2,ORIGINAL,68,0,,2011-021601
6778,8,1,2011,06,25,028205,0010039,0,1,51,05,1107,1,vajn1107.tif,00036825.tif,1050,0282,9996,9996,722,2,9996,0,6,ORIGINAL,122,0,,2011-028205
6778,8,1,2011,06,24,027602,0010039,0,0,51,02,2105,1,vajn2105.tif,00036786.tif,1050,0276,9996,9996,724,2,9996,0,3,ORIGINAL,110,0,,2011-027602
6783,8,3,2011,06,26,027502,0010039,0,0,51,02,1209,1,vajn1209.tif,00036770.tif,1050,0275,9996,9996,726,2,9996,0,4,ORIGINAL,134,0,,2011-027502
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,732,2,9996,0,8,ORIGINAL,108,0,,2011-010704
7326,3,1,2011,06,26,024502,0470853,0,0,24,02,1104,1,mdjn1104.tif,00036442.tif,1050,0245,9996,9996,740,1,9996,0,2,ORIGINAL,53,0,,2011-024502
7326,3,1,2011,06,26,024507,0470853,0,0,24,07,1104,1,mdjn1104.tif,00036452.tif,1050,0245,9996,9996,740,2,9996,0,3,ORIGINAL,57,0,,2011-024507
6936,5,1,2011,06,27,025803,0471493,0,0,24,03,2104,1,mdjn2104.tif,00036559.tif,1050,0258,9996,9996,741,1,9996,0,4,ORIGINAL,48,0,,2011-025803
6778,8,1,2011,06,24,027602,0010039,0,0,51,02,2105,1,vajn2105.tif,00036786.tif,1050,0276,9996,9996,741,2,9996,0,4,ORIGINAL,111,0,,2011-027602
7392,1,1,2011,06,26,027402,8100002,0,0,51,02,1207,1,vajn1207.tif,00036754.tif,1050,0274,9996,9996,744,2,9996,0,4,ORIGINAL,148,0,,2011-027402
6783,8,3,2011,06,26,027502,0010039,0,0,51,02,1209,1,vajn1209.tif,00036770.tif,1050,0275,9996,9996,761,1,9996,0,1,ORIGINAL,131,0,,2011-027502
6783,2,1,2011,06,30,029001,0051599,0,0,10,01,2102,1,dejn2102.tif,00036913.tif,1050,0290,9996,9996,765,1,9996,0,2,ORIGINAL,21,0,,2011-029001
7393,1,1,2011,06,11,011206,8100002,0,1,51,06,1201,1,vajn1201.tif,00035547.tif,1050,0112,9996,9996,769,8,9996,0,1,ORIGINAL,168,0,,2011-011206
6783,8,3,2011,06,26,027502,0010039,0,0,51,02,1209,1,vajn1209.tif,00036770.tif,1050,0275,9996,9996,770,2,9996,0,6,ORIGINAL,136,0,,2011-027502
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,783,1,9996,0,5,ORIGINAL,105,0,,2011-010704
6783,2,1,2011,06,30,029001,0051599,0,0,10,01,2102,1,dejn2102.tif,00036913.tif,1050,0290,9996,9996,785,2,9996,0,1,ORIGINAL,20,0,,2011-029001
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,787,2,9996,0,5,ORIGINAL,81,0,,2011-011001
6778,8,3,2011,06,25,028202,0010039,0,0,51,02,1107,1,vajn1107.tif,00036819.tif,1050,0282,9996,9996,788,1,9996,0,5,ORIGINAL,116,0,,2011-028202
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,793,1,9996,0,4,ORIGINAL,104,0,,2011-010704
6590,3,1,2011,06,16,017701,8100088,0,0,51,01,2206,1,vajn2206.tif,00035905.tif,1050,0177,9996,9996,803,2,9996,0,3,ORIGINAL,75,0,,2011-017701
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,806,2,9996,0,2,ORIGINAL,87,0,,2011-022901
6783,8,3,2011,06,26,027502,0010039,0,0,51,02,1209,1,vajn1209.tif,00036770.tif,1050,0275,9996,9996,807,2,9996,0,3,ORIGINAL,133,0,,2011-027502
7392,1,1,2011,06,26,027402,8100002,0,0,51,02,1207,1,vajn1207.tif,00036754.tif,1050,0274,9996,9996,808,2,9996,0,3,ORIGINAL,147,0,,2011-027402
6783,8,3,2011,06,26,027502,0010039,0,0,51,02,1209,1,vajn1209.tif,00036770.tif,1050,0275,9996,9996,809,2,9996,0,5,ORIGINAL,135,0,,2011-027502
7326,7,1,2011,06,25,025704,0470938,1,1,24,04,1111,1,mdjn1111.tif,00036547.tif,1050,0257,9996,9996,810,1,9996,0,3,ORIGINAL,61,0,,2011-025704
6778,8,3,2011,06,25,028202,0010039,0,0,51,02,1107,1,vajn1107.tif,00036819.tif,1050,0282,9996,9996,812,1,9996,0,4,ORIGINAL,115,0,,2011-028202
