tracker,stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,interr,filestat,month,day,year,enterr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
356804,34,1106,04,676,0,,NJJL1106.pdf,3568,6416,00162795.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0251050,WHITE MARLIN,2161,2,0,0,1,0,0,0,1,2021-356804
357001,34,1204,01,716,0,,NJJL1204.pdf,3570,7508,00162800.tif,3,1,3,6,1,ORIGINAL,07,03,2021,0,0090385,YFT,4711,1,9,9,0,0,0,0,1,2021-357001
357401,34,2114,01,762,1,CAUGHT OUT OF AREA;,NJJL2114.pdf,3574,7894,00162817.tif,5,1,2,4,0,ORIGINAL,07,02,2021,0,0250119,SPINNER SHARK,4881,1,0,0,2,0,0,0,2,2021-357401
357701,44,1211,01,1072,0,,RIJL1211.pdf,3577,7665,00162827.tif,12,1,3,6,0,ORIGINAL,07,04,2021,0,0090031,BFT SCHOOL,4677,1,3,0,10,0,0,0,2,2021-357701
357901,44,2225,01,1107,0,,RIJL2225.pdf,3579,7856,00162835.tif,11,1,3,5,0,ORIGINAL,07,01,2021,0,0094047,BFT SCHOOL,4677,1,3,0,15,0,0,0,2,2021-357901
358101,51,1109,01,1128,0,,VAJL1109.pdf,3581,7872,00162841.tif,1,1,3,4,0,ORIGINAL,07,03,2021,0,8100091,DOLPHIN,1050,1,1,1,0,0,0,0,2,2021-358101
358301,51,1203,01,1177,0,,VAJL1203.pdf,3583,7916,00162847.tif,3,1,3,6,0,ORIGINAL,07,03,2021,0,8100088,YFT,4711,1,1,1,0,0,0,0,2,2021-358301
358302,51,1203,02,1179,0,,VAJL1203.pdf,3583,7916,00162849.tif,3,1,3,2,0,ORIGINAL,07,03,2021,0,8100088,YFT,4711,1,0,0,2,0,0,0,2,2021-358302
358302,51,1203,02,1178,0,,VAJL1203.pdf,3583,7916,00162849.tif,3,1,3,2,0,ORIGINAL,07,03,2021,0,8100088,BLUELINE TILEFISH,4440,2,15,15,0,0,0,0,2,2021-358302
358801,24,1109,01,177,0,,MDJL1109.pdf,3588,6936,00162911.tif,5,1,3,6,1,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,18,18,0,0,0,0,1,2021-358801
358801,24,1109,01,176,0,,MDJL1109.pdf,3588,6936,00162911.tif,5,1,3,6,1,ORIGINAL,07,04,2021,0,0471493,SKIPJACK TUNA,4661,2,0,0,3,0,0,0,1,2021-358801
358801,24,1109,01,175,0,,MDJL1109.pdf,3588,6936,00162911.tif,5,1,3,6,1,ORIGINAL,07,04,2021,0,0471493,WHITE MARLIN,2161,3,0,0,1,0,0,0,1,2021-358801
358802,24,1109,02,178,0,,MDJL1109.pdf,3588,6936,00162913.tif,5,1,3,4,0,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,9,9,0,0,0,0,2,2021-358802
358803,24,1109,03,179,0,,MDJL1109.pdf,3588,6936,00162915.tif,5,1,2,3,0,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,8,8,0,0,0,0,1,2021-358803
358804,24,1109,04,180,0,,MDJL1109.pdf,3588,6936,00162917.tif,5,1,3,5,0,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,11,11,0,0,0,3,2,2021-358804
358805,24,1109,05,182,0,,MDJL1109.pdf,3588,6936,00162919.tif,5,1,2,4,0,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,3,3,0,0,0,0,2,2021-358805
358805,24,1109,05,181,0,,MDJL1109.pdf,3588,6936,00162919.tif,5,1,2,4,0,ORIGINAL,07,04,2021,0,0471493,DOLPHIN,1050,2,1,1,0,0,0,0,2,2021-358805
358807,24,1109,07,183,0,,MDJL1109.pdf,3588,6936,00162922.tif,5,1,2,7,0,ORIGINAL,07,04,2021,0,0471493,BLUE MARLIN,2171,1,0,0,1,0,0,0,2,2021-358807
358808,24,1109,08,185,0,,MDJL1109.pdf,3588,6936,00162924.tif,5,1,2,6,0,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,1,0,0,0,0,0,2,2021-358808
358808,24,1109,08,184,0,,MDJL1109.pdf,3588,6936,00162924.tif,5,1,2,6,0,ORIGINAL,07,04,2021,0,0471493,LITTLE TUNNY,4681,2,0,0,1,0,0,0,2,2021-358808
358809,24,1109,09,187,0,,MDJL1109.pdf,3588,6936,00162926.tif,5,1,2,6,0,ORIGINAL,07,04,2021,0,0471493,YFT,4711,1,2,2,0,0,0,0,2,2021-358809
358809,24,1109,09,186,0,,MDJL1109.pdf,3588,6936,00162926.tif,5,1,2,6,0,ORIGINAL,07,04,2021,0,0471493,WHITE MARLIN,2161,2,0,0,1,0,0,0,2,2021-358809
358901,24,2111,01,292,0,,MDJL2111.pdf,3589,6555,00162930.tif,4,3,2,2,0,ORIGINAL,07,05,2021,0,0470856,DOLPHIN,1050,1,1,0,0,0,0,0,2,2021-358901
358901,24,2111,01,293,0,,MDJL2111.pdf,3589,6555,00162930.tif,4,3,2,2,0,ORIGINAL,07,05,2021,0,0470856,SPINY DOGFISH,3521,2,0,0,3,0,0,0,2,2021-358901
358902,24,2111,02,294,0,,MDJL2111.pdf,3589,6555,00162932.tif,4,3,2,4,0,ORIGINAL,07,05,2021,0,0470856,YFT,4711,1,3,0,0,0,0,0,2,2021-358902
358903,24,2111,03,295,0,,MDJL2111.pdf,3589,6555,00162934.tif,4,3,2,2,0,ORIGINAL,07,05,2021,0,0470856,YFT,4711,1,1,0,0,0,0,0,2,2021-358903
358904,24,2111,04,296,0,,MDJL2111.pdf,3589,6555,00162936.tif,4,3,2,4,0,ORIGINAL,07,05,2021,0,0470856,YFT,4711,1,1,0,0,0,0,0,2,2021-358904
