tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,3350,34,NJ,MANA,04,6,6,HUDSON CANYON,6416,34,1715,1111,1050,6,1,1,2,3,1,1700,4691,4711,1,12,11,18,0,1,1,1,0,1,0,5,3930,7220,92,460,77,2,1,1,njse1111.tif,00056577.tif,2012,0,0,0,ORIGINAL,09,02,19238,1556,0251050,025,5,69,0,,Y,1,,2012-155604
15,6,34,NJ,7,05,6,6,HUDSON CANYON,6416,34,1730,1111,1050,6,1,1,2,2,1,1715,4691,4711,1,1,10,7,0,1,1,1,0,0,0,4,3930,7220,90,1000,77,2,2,1,njse1111.tif,00056579.tif,2012,0,1,0,ORIGINAL,09,02,19238,1556,0251050,025,5,496,0,,Y,1,,2012-155605
15,3350,34,NJ,MANA,06,6,6,HUDSON CANYON,6416,34,1745,1111,1050,6,1,1,2,1,1,1730,4691,4711,1,12,11,16,0,1,1,1,0,1,0,6,3930,7220,95,600,77,2,1,2,njse1111.tif,00056581.tif,2012,0,0,0,ORIGINAL,09,02,19238,1556,0251050,025,5,68,0,,Y,2,,2012-155606
15,6,34,NJ,6,07,6,6,HUDSON CANYON,6416,34,1900,1111,1808,6,1,1,2,2,1,1830,4711,4656,2,2,7,10,0,1,1,1,0,0,0,5,3930,7220,95,500,78,2,1,1,njse1111.tif,00056582.tif,2012,0,0,0,ORIGINAL,09,02,19238,1556,0251808,025,5,497,0,,Y,2,,2012-155607
15,6,34,NJ,6,01,6,LIVE SQUID,HUDSON CANYON,6416,34,1630,1113,1050,6,1,1,2,2,1,535,4691,4711,2,12,12,25,1,1,1,1,0,1,1,2,3930,7220,90,500,75,1,1,1,njse1113.tif,00056588.tif,2012,0,0,0,ORIGINAL,09,03,19239,1557,0251050,025,5,499,1,Q15;,Y,2,,2012-155701
15,6,42,PA,6,01,6,6,SHARK RIVER REEF,6416,34,1700,2115,1050,6,1,1,2,2,6,1630,4681,9996,2,2,1,4,0,1,0,1,0,0,0,1,9998,9998,12,110,79,2,1,1,njse2115.tif,00056594.tif,2012,0,1,0,ORIGINAL,09,12,19248,1558,0251050,025,5,548,0,,N,1,,2012-155801
15,6,34,NJ,6,01,6,LIVE SQUID,HUDSON CANYON,6416,34,1250,2208,1050,6,1,1,2,2,1,1240,4711,4691,2,2,7,18,1,1,1,1,0,1,1,5,3930,7210,90,2000,73,2,1,1,njse2208.tif,00056600.tif,2012,0,0,0,ORIGINAL,09,14,19250,1559,0251050,025,5,563,0,,Y,1,,2012-155901
15,6,34,NJ,6,02,6,6,HUDSON CANYON,6416,34,1310,2208,1050,6,1,1,2,2,1,1245,4711,1050,2,12,6,12,1,1,1,1,0,1,0,6,3930,7220,90,1000,72,2,1,1,njse2208.tif,00056602.tif,2012,0,0,0,ORIGINAL,09,14,19250,1559,0251050,025,5,565,0,,Y,1,,2012-155902
15,6,34,NJ,6,03,6,LIVE SQUID,HUDSON CANYON,6416,34,1340,2208,1050,6,1,1,2,2,1,1330,4711,4691,2,12,6,15,1,1,1,1,0,1,1,4,3933,7223,90,550,72,2,1,1,njse2208.tif,00056604.tif,2012,1,0,0,ORIGINAL,09,14,19250,1559,0251050,025,5,562,0,,Y,2,,2012-155903
15,6,34,NJ,6,04,6,LIVE,HUDSON CANYON,6416,34,1625,2208,1808,6,1,1,2,3,1,1600,4711,4691,2,12,10,12,1,1,1,1,0,1,1,4,3930,7220,90,800,74,2,1,2,njse2208.tif,00056606.tif,2012,0,0,0,ORIGINAL,09,14,19250,1559,0251808,025,5,560,0,,N,2,,2012-155904
15,6,34,NJ,6,05,6,LIVE,SPENCER CANYON,6416,34,1638,2208,1808,6,1,1,2,3,1,1540,4711,4328,2,12,9,12,1,1,1,1,0,1,1,5,3837,7312,96,1200,76,2,1,1,njse2208.tif,00056607.tif,2012,0,0,0,ORIGINAL,09,14,19250,1559,0251808,025,5,568,0,,Y,2,,2012-155905
