intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,length,species,batch,upprbill,lowerjaw,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
6855,1,1,2012,06,16,019514,0590213,0,0,36,14,1121,1,nyjn1121.tif,00047712.tif,ORIGINAL,1904,3531,0195,9996,9996,1,9996,0,1,87,0,,2012-019514
6855,1,1,2012,06,16,019528,0590213,0,0,36,28,1121,1,nyjn1121.tif,00047740.tif,ORIGINAL,1940,3531,0195,9996,9996,1,9996,0,1,88,0,,2012-019528
6757,2,1,2012,06,23,027006,1030342,0,0,36,06,1105,1,nyjn1105.tif,00048139.tif,ORIGINAL,1986,3531,0270,9996,9996,2,9996,0,1,84,0,,2012-027006
7422,5,1,2012,06,29,031609,1030037,0,0,36,09,2210,1,nyjn2210.tif,00048527.tif,ORIGINAL,2360,3531,0316,9996,9996,2,9996,0,1,91,0,,2012-031609
6615,1,4,2012,06,23,026901,0590626,0,0,36,01,1104,1,nyjn1104.tif,00048121.tif,ORIGINAL,2514,3531,0269,9996,9996,2,9996,0,1,81,1,LENGTH;,2012-026901
6757,2,1,2012,06,23,027003,1030342,0,0,36,03,1105,1,nyjn1105.tif,00048133.tif,ORIGINAL,2647,3531,0270,9996,9996,2,9996,0,1,83,1,LENGTH;,2012-027003
6855,1,4,2012,06,10,020604,0590626,0,0,36,04,1211,1,nyjn1211.tif,00047784.tif,ORIGINAL,1579,3551,0206,9996,9996,2,9996,0,1,162,0,,2012-020604
7393,1,1,2012,06,10,013401,8100091,0,0,51,01,1116,1,vajn1116.tif,00047280.tif,ORIGINAL,1592,3551,0134,9996,9996,1,9996,0,1,163,0,,2012-013401
7379,3,1,2012,06,03,001003,0470853,0,1,24,03,1107,1,mdjn1107.tif,00046571.tif,ORIGINAL,1603,3551,0010,9996,9996,8,9996,2,1,94,0,,2012-001003
7370,3,1,2012,06,02,001403,0090900,0,0,34,03,1111,1,njjn1111.tif,00046561.tif,ORIGINAL,1618,3551,0014,9996,9996,1,9996,0,1,135,0,,2012-001403
6757,2,1,2012,06,24,028001,1031780,0,1,36,01,1214,1,nyjn1214.tif,00048215.tif,ORIGINAL,1624,3551,0280,9996,9996,2,9996,0,1,146,0,,2012-028001
7370,3,1,2012,06,03,004001,0090385,1,0,34,01,1202,1,njjn1202.tif,00046690.tif,ORIGINAL,1628,3551,0040,9996,9996,2,9996,0,1,136,0,,2012-004001
6757,2,1,2012,06,23,027002,1030342,0,0,36,02,1105,1,nyjn1105.tif,00048131.tif,ORIGINAL,1646,3551,0270,9996,9996,2,9996,0,1,142,0,,2012-027002
6416,6,1,2012,06,03,001802,0251808,0,0,34,02,1207,1,njjn1207.tif,00046593.tif,ORIGINAL,1678,3551,0018,9996,9996,1,9996,0,1,104,0,,2012-001802
6757,4,1,2012,06,15,015211,1030085,0,0,36,11,2105,1,nyjn2105.tif,00047425.tif,ORIGINAL,1689,3551,0152,9996,9996,2,9996,0,1,140,0,,2012-015211
6757,2,1,2012,06,23,027007,1030342,0,0,36,07,1105,1,nyjn1105.tif,00048141.tif,ORIGINAL,1714,3551,0270,9996,9996,1,9996,0,1,145,0,,2012-027007
6416,10,1,2012,06,23,026413,0290894,0,0,34,13,1117,1,njjn1117.tif,00048320.tif,ORIGINAL,1735,3551,0264,9996,9996,2,9996,0,1,119,0,,2012-026413
6416,10,1,2012,06,23,026415,0290894,0,0,34,15,1117,1,njjn1117.tif,00048324.tif,ORIGINAL,1749,3551,0264,9996,9996,2,9996,0,1,121,0,,2012-026415
6416,10,1,2012,06,23,026417,0290894,0,0,34,17,1117,1,njjn1117.tif,00048328.tif,ORIGINAL,1753,3551,0264,9996,9996,2,9996,0,1,122,0,,2012-026417
