intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
6783,2,1,2011,06,05,002404,0051599,0,0,10,04,1101,2,dejn1101.tif,00035116.tif,YFT,4711,0024,1,1,0,0,0,0,0,ORIGINAL,60,0,,2011-002404
6783,2,1,2011,06,05,002405,0051599,0,0,10,05,1101,1,dejn1101.tif,00035118.tif,DOLPHIN,1050,0024,2,2,2,0,0,0,0,ORIGINAL,61,0,,2011-002405
6783,2,1,2011,06,05,002405,0051599,0,0,10,05,1101,1,dejn1101.tif,00035118.tif,SKIPJACK TUNA,4661,0024,3,4,4,0,0,0,0,ORIGINAL,62,0,,2011-002405
6783,2,1,2011,06,05,002405,0051599,0,0,10,05,1101,1,dejn1101.tif,00035118.tif,YFT,4711,0024,1,0,0,3,0,0,0,ORIGINAL,63,0,,2011-002405
6783,2,1,2011,06,05,002408,0051599,0,0,10,08,1101,1,dejn1101.tif,00035122.tif,YFT,4711,0024,1,1,1,3,0,0,0,ORIGINAL,64,0,,2011-002408
6783,2,1,2011,06,05,002409,0051599,0,0,10,09,1101,1,dejn1101.tif,00035124.tif,YFT,4711,0024,1,3,3,16,0,0,0,ORIGINAL,65,0,,2011-002409
6783,2,1,2011,06,07,007301,0051599,0,0,10,01,2203,1,dejn2203.tif,00035348.tif,DOLPHIN,1050,0073,2,1,1,0,0,0,0,ORIGINAL,66,0,,2011-007301
6783,2,1,2011,06,07,007301,0051599,0,0,10,01,2203,1,dejn2203.tif,00035348.tif,SKIPJACK TUNA,4661,0073,3,5,0,24,0,0,0,ORIGINAL,67,0,,2011-007301
6783,2,1,2011,06,07,007301,0051599,0,0,10,01,2203,1,dejn2203.tif,00035348.tif,YFT,4711,0073,1,5,5,0,0,0,0,ORIGINAL,68,0,,2011-007301
6783,2,1,2011,06,07,007302,0051599,0,0,10,02,2203,1,dejn2203.tif,00035350.tif,BLUEFISH,230,0073,2,1,0,2,0,0,0,ORIGINAL,69,0,,2011-007302
6783,2,1,2011,06,07,007302,0051599,0,0,10,02,2203,1,dejn2203.tif,00035350.tif,SHORTFIN MAKO SHARK,3551,0073,1,1,1,0,0,0,0,ORIGINAL,70,0,,2011-007302
6783,2,1,2011,06,07,007302,0051599,0,0,10,02,2203,1,dejn2203.tif,00035350.tif,DUSKY SHARK,4841,0073,3,0,0,1,0,0,0,ORIGINAL,71,0,,2011-007302
6783,2,1,2011,06,30,029001,0051599,0,0,10,01,2102,1,dejn2102.tif,00036913.tif,DOLPHIN,1050,0290,1,2,2,0,0,0,0,ORIGINAL,72,0,,2011-029001
6783,2,1,2011,06,30,029002,0051599,0,0,10,02,2102,2,dejn2102.tif,00036915.tif,WHITE MARLIN,2161,0290,1,0,0,1,0,0,0,ORIGINAL,73,0,,2011-029002
6783,2,1,2011,06,30,029002,0051599,0,0,10,02,2102,2,dejn2102.tif,00036915.tif,YFT,4711,0290,2,4,0,0,0,0,0,ORIGINAL,74,0,,2011-029002
6783,2,1,2011,06,30,029003,0051599,0,0,10,03,2102,2,dejn2102.tif,00036917.tif,DOLPHIN,1050,0290,3,1,1,0,0,0,0,ORIGINAL,75,0,,2011-029003
6783,2,1,2011,06,30,029003,0051599,0,0,10,03,2102,2,dejn2102.tif,00036917.tif,WHITE MARLIN,2161,0290,2,0,0,1,0,0,0,ORIGINAL,76,0,,2011-029003
