tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,speceis,q11a,id
40,25,02,2103,64,0,,6591,8,2,2014,10,06,0230784,1,0,2,MAOC2103.pdf,00081161.tif,ORIGINAL,BFT LA,4678,4066,1,1,1,0,0,0,0,,3,2014-406602
40,25,01,2104,65,0,,6591,9,1,2014,10,10,0239038,0,0,2,MAOC2104.pdf,00081253.tif,ORIGINAL,BFT SC,4677,4086,1,1,0,0,0,0,0,,3,2014-408601
40,25,01,2104,66,0,,6591,9,1,2014,10,10,0239038,0,0,2,MAOC2104.pdf,00081253.tif,ORIGINAL,BFT LA,4678,4086,2,1,0,0,0,0,0,,3,2014-408601
40,25,02,2104,67,0,,6591,9,1,2014,10,10,0239038,0,0,2,MAOC2104.pdf,00081255.tif,ORIGINAL,BFT LA,4678,4086,1,0,0,1,0,0,0,,3,2014-408602
40,25,03,2104,68,0,,6591,9,1,2014,10,10,0239038,0,1,2,MAOC2104.pdf,00081257.tif,ORIGINAL,BFT SM,4676,4086,1,1,1,3,0,0,0,,3,2014-408603
40,25,04,2104,69,0,,6591,9,1,2014,10,10,0239038,0,0,2,MAOC2104.pdf,00081259.tif,ORIGINAL,BLUE S,4931,4086,1,0,0,1,0,0,0,,3,2014-408604
40,25,01,2201,70,1,DEAD;,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081139.tif,ORIGINAL,HERRIN,1670,4061,1,0,0,0,2,0,0,,3,2014-406101
40,25,01,2201,71,1,DEAD;,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081139.tif,ORIGINAL,WHITIN,5090,4061,2,0,0,0,2,0,0,,3,2014-406101
40,25,02,2201,72,0,,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081141.tif,ORIGINAL,COD,815,4061,2,0,0,2,0,0,0,,1,2014-406102
40,25,02,2201,73,0,,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081141.tif,ORIGINAL,HERRIN,1670,4061,3,2,0,0,0,0,0,,1,2014-406102
40,25,02,2201,74,0,,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081141.tif,ORIGINAL,WHITIN,5090,4061,1,12,0,0,0,0,0,,1,2014-406102
40,25,03,2201,75,0,,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081143.tif,ORIGINAL,HERRIN,1670,4061,2,2,0,0,0,0,0,,1,2014-406103
40,25,03,2201,76,0,,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081143.tif,ORIGINAL,ATLANT,2120,4061,1,10,0,0,0,0,0,,1,2014-406103
40,25,03,2201,77,0,,6583,15,1,2014,10,06,0090024,0,0,2,MAOC2201.pdf,00081143.tif,ORIGINAL,WHITIN,5090,4061,3,1,0,0,0,0,0,,1,2014-406103
40,25,01,2203,78,0,,7405,5,1,2014,10,09,0010393,0,0,2,MAOC2203.pdf,00081197.tif,ORIGINAL,BFT LA,4678,4076,1,1,1,0,0,0,0,,2,2014-407601
41,25,01,2204,79,0,,6591,9,1,2014,10,14,0239038,0,0,2,MAOC2204.pdf,00081448.tif,ORIGINAL,BFT LA,4678,4129,1,1,1,0,0,0,0,,3,2014-412901
43,25,03,2222,80,0,,6591,8,1,2014,10,28,0230218,0,0,2,MAOC2222.pdf,00082108.tif,ORIGINAL,BFT LA,4678,4314,1,1,1,0,0,0,0,,3,2014-431403
43,25,04,2222,81,0,,6591,8,1,2014,10,28,0230218,0,0,2,MAOC2222.pdf,00082110.tif,ORIGINAL,BFT LA,4678,4314,1,0,0,4,0,0,0,,3,2014-431404
