tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,tracker,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,01,6,6,BALTIMORE CANYON,6447,24,1629,1107,0856,4,3,1,2,2,7,1625,4656,9996,2,2,7,8,0,1,1,1,0,0,0,5,3820,7345,57,1600,73,2,1,2,mdjn1107.tif,00035800.tif,2011,0,1,0,06,19,18797,016401,0164,0470856,047,ORIGINAL,7,175,0,,Y,2,2011-016401
6,10,DE,6,02,6,6,SAUSAGES,6447,24,1638,1107,0856,4,3,1,2,2,1,1630,4656,9996,2,12,8,7,0,1,0,1,0,0,0,3,3759,7433,45,150,74,2,1,1,mdjn1107.tif,00035801.tif,2011,0,0,0,06,19,18797,016402,0164,0470856,047,ORIGINAL,7,178,0,,Y,2,2011-016402
6,10,DE,6,03,6,6,HAMBONE,6447,24,1652,1107,0856,4,3,1,2,2,1,1645,3551,9996,2,12,6,10,0,0,1,0,1,0,0,4,3811,7424,42,212,73,2,1,2,mdjn1107.tif,00035803.tif,2011,0,1,0,06,19,18797,016403,0164,0470856,047,ORIGINAL,7,179,0,,Y,2,2011-016403
6,24,MD,6,04,6,6,POOR MANS CANYON,6447,24,1724,1107,0856,4,3,1,2,2,1,1715,4711,9996,2,2,8,6,0,1,1,1,0,0,0,2,3752,7406,55,900,74,2,1,1,mdjn1107.tif,00035804.tif,2011,0,1,0,06,19,18797,016404,0164,0470856,047,ORIGINAL,7,176,0,,Y,2,2011-016404
6,24,MD,6,05,6,6,FINGERS,6447,24,1735,1107,0856,4,3,1,8,8,6,1730,3551,3591,2,1,4,7,0,0,1,0,1,0,0,2,3805,7440,25,140,98,2,1,1,mdjn1107.tif,00035806.tif,2011,0,0,0,06,19,18797,016405,0164,0470856,047,ORIGINAL,7,184,0,,N,2,2011-016405
6,24,MD,6,06,6,6,7,6447,24,1740,1107,0856,4,3,1,2,2,7,1730,4711,4672,2,2,6,8,0,1,1,1,0,0,0,4,9998,9998,60,450,72,1,1,1,mdjn1107.tif,00035808.tif,2011,0,1,0,06,19,18797,016406,0164,0470856,047,ORIGINAL,7,182,0,,Y,2,2011-016406
6,24,MD,6,07,6,6,HAMBONE,6447,24,1749,1107,0856,4,3,1,2,2,1,1745,4711,4656,2,2,4,12,0,1,0,1,0,0,0,5,3811,7424,998,700,73,2,2,1,mdjn1107.tif,00035810.tif,2011,0,0,0,06,19,18797,016407,0164,0470856,047,ORIGINAL,7,180,0,,Y,2,2011-016407
6,24,MD,6,08,6,6,HOT DOG,6447,24,1756,1107,0856,4,3,1,2,2,7,1750,4711,9996,2,1,6,8,0,0,1,1,0,0,0,5,3806,7417,50,580,74,2,1,1,mdjn1107.tif,00035812.tif,2011,0,1,0,06,19,18797,016408,0164,0470856,047,ORIGINAL,7,183,0,,Y,2,2011-016408
6,24,MD,6,09,6,6,BALTIMORE CANYON,6447,24,1811,1107,0856,4,3,1,2,2,7,1800,4672,4711,2,2,6,8,0,1,1,1,0,0,0,3,3814,7350,54,600,74,2,1,1,mdjn1107.tif,00035814.tif,2011,0,1,0,06,19,18797,016409,0164,0470856,047,ORIGINAL,7,177,0,,Y,2,2011-016409
6,10,DE,6,10,6,6,WILMINGTON CANYON,6447,24,1848,1107,0856,4,3,1,2,2,7,1840,4711,4656,2,2,10,12,0,1,1,1,0,0,0,4,3824,7327,80,4000,75,1,1,1,mdjn1107.tif,00035816.tif,2011,0,1,0,06,19,18797,016410,0164,0470856,047,ORIGINAL,7,181,0,,Y,2,2011-016410
