tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,34,NJ,6,08,6,6,RESOR WRECK,6416,34,1810,1112,1050,6,1,1,2,2,1,1755,3531,3551,2,1,4,8,0,0,1,0,1,0,0,3,3946,7325,40,130,68,1,1,1,NJJN1112.pdf,00096965.tif,2016,0,0,0,ORIGINAL,06,26,20631,037508,0375,0251050,025,5,373,0,,Y,1,2016-037508
T304,34,NJ,JC MAKO FEVER,09,6,6,TRIPLE WRECKS,6416,34,1820,1112,1050,6,1,1,2,2,1,1807,3551,9996,1,2,3,8,0,0,1,0,1,0,0,5,3936,7301,60,210,67,1,1,1,NJJN1112.pdf,00096967.tif,2016,0,0,0,ORIGINAL,06,26,20631,037509,0375,0251050,025,5,776,0,,N,1,2016-037509
6,34,NJ,6,10,6,6,LINDENKOHL CANYON,6416,34,1830,1112,1050,6,1,1,2,2,1,1820,4711,4691,2,2,8,12,0,1,0,1,0,0,0,5,3847,7303,98,400,70,1,2,1,NJJN1112.pdf,00096969.tif,2016,0,0,0,ORIGINAL,06,26,20631,037510,0375,0251050,025,5,374,0,,Y,1,2016-037510
T304,34,NJ,JC MAKO FEVER,11,6,6,CHICKEN CANYON,6416,34,1905,1112,1050,6,1,1,2,3,6,1840,3551,3531,1,2,5,8,0,0,1,0,1,0,0,7,3952,7303,50,230,69,1,2,1,NJJN1112.pdf,00096971.tif,2016,0,1,1,ORIGINAL,06,26,20631,037511,0375,0251050,025,5,772,0,,N,2,2016-037511
T304,34,NJ,JC MAKO FEVER,01,6,6,MONSTER LEDGE,6416,34,1710,1212,0894,10,1,1,2,2,1,1700,3551,9996,1,12,3,7,0,0,1,0,1,0,0,3,4010,7335,28,735,98,1,2,1,NJJN1212.pdf,00096976.tif,2016,0,1,0,ORIGINAL,06,25,20630,037601,0376,0290894,029,5,777,0,,Y,1,2016-037601
T304,34,NJ,JC MAKO FEVER,02,6,6,TRIPLE WRECKS,6416,34,1825,1212,0894,10,1,1,2,3,1,1745,3551,9996,1,1,4,7,0,0,1,0,1,0,0,4,3935,7255,48,180,70,1,2,1,NJJN1212.pdf,00096978.tif,2016,1,1,0,ORIGINAL,06,25,20630,037602,0376,0290894,029,5,779,0,,Y,1,2016-037602
T304,34,NJ,JC MAKO FEVER,03,6,6,GLORY HOLE,6416,34,1920,1212,0894,10,1,2,1,3,1,1900,3551,3531,1,2,4,6,0,0,1,0,1,0,0,6,3955,7315,40,145,64,1,1,1,NJJN1212.pdf,00096980.tif,2016,1,1,0,ORIGINAL,06,25,20630,037603,0376,0290894,029,5,778,0,,Y,2,2016-037603
T304,34,NJ,JC MAKO FEVER,04,6,6,CHICKEN CANYON,6416,34,2035,1212,0193,10,1,2,1,3,2,1920,3551,9996,1,2,3,8,0,0,1,0,1,0,0,4,3952,7303,50,180,68,1,2,1,NJJN1212.pdf,00096982.tif,2016,0,0,0,ORIGINAL,06,25,20630,037604,0376,0290193,029,5,780,0,,N,2,2016-037604
T304,34,NJ,JC MAKO FEVER,05,6,6,GLORY HOLE,6416,34,2044,1212,0193,10,1,1,2,2,1,1945,3551,9996,1,2,4,8,0,0,1,0,1,0,0,5,3957,7319,46,180,68,1,1,1,NJJN1212.pdf,00096984.tif,2016,0,0,0,ORIGINAL,06,25,20630,037605,0376,0290193,029,5,781,0,,Y,2,2016-037605
6,34,NJ,6,01,6,6,WILIMINGTON CANYON,7656,34,1449,2120,1655,10,1,1,2,3,1,1400,4711,3571,2,12,10,24,0,1,1,1,1,1,0,5,3824,7327,100,1500,69,2,1,1,NJJN2120.pdf,00096990.tif,2016,0,1,0,ORIGINAL,06,28,20633,037801,0378,0291655,029,5,396,0,,Y,2,2016-037801
6,34,NJ,6,01,6,LIVE LINING,MUD HOLE WEST,6416,34,1445,2206,1050,6,1,1,2,2,1,1245,3531,9996,2,2,3,5,1,0,1,0,1,0,1,3,4006,7340,21,234,66,1,2,1,NJJN2206.pdf,00097004.tif,2016,0,1,0,ORIGINAL,06,22,20627,038101,0381,0251050,025,5,404,0,,Y,2,2016-038101
6,34,NJ,6,02,6,6,MUD HOLE WEST,6416,34,1804,2206,1050,6,1,1,2,2,1,1745,3531,3551,2,2,3,5,0,0,1,0,1,0,0,4,4006,7340,23,170,64,1,2,1,NJJN2206.pdf,00097006.tif,2016,0,0,0,ORIGINAL,06,22,20627,038102,0381,0251050,025,5,402,0,,Y,2,2016-038102
6,34,NJ,6,03,6,6,MUD HOLE NORTH,6416,34,1825,2206,1005,6,1,1,2,3,1,1800,3531,3551,2,2,4,8,0,0,1,0,1,0,0,3,4010,7335,15,160,67,1,1,1,NJJN2206.pdf,00097008.tif,2016,0,0,0,ORIGINAL,06,22,20627,038103,0381,0251005,025,5,403,0,,N,2,2016-038103
6,34,NJ,6,01,6,6,MUD HOLE,6416,34,1605,2224,1050,6,1,1,2,2,1,1545,3551,3531,2,2,4,4,0,0,1,0,1,0,0,3,4006,7340,20,180,64,1,2,1,NJJN2224.pdf,00097018.tif,2016,0,0,0,ORIGINAL,06,21,20626,038301,0383,0251050,025,5,409,0,,Y,2,2016-038301
6,51,VA,6,01,6,6,CIGAR,7421,51,1645,2207,0091,1,1,1,2,2,1,1610,4656,1050,2,2,7,8,0,0,1,1,0,0,0,4,3630,7450,54,260,98,1,2,1,VAJN2207.pdf,00097028.tif,2016,0,0,0,ORIGINAL,06,29,20634,038601,0386,8100091,810,7,538,0,,Y,2,2016-038601
6,10,DE,6,01,6,6,POOR MANS CANYON,6783,10,1610,2209,1599,2,1,1,2,2,1,1602,4711,1050,2,2,8,18,0,1,1,1,1,0,0,5,3752,7406,60,1800,72,1,2,1,DEJN2209.pdf,00097032.tif,2016,0,0,0,ORIGINAL,06,27,20632,038701,0387,0051599,005,6,172,0,,Y,2,2016-038701
6,10,DE,6,02,6,6,HAMBONE,6783,10,1628,2209,1599,2,1,1,2,2,6,1620,4678,3591,2,2,5,8,0,1,1,1,1,0,0,4,3811,7424,38,120,69,1,2,1,DEJN2209.pdf,00097034.tif,2016,0,1,0,ORIGINAL,06,27,20632,038702,0387,0051599,005,6,170,0,,Y,1,2016-038702
6,10,DE,6,03,6,6,POOR MANS CANYON,6783,10,1640,2209,1599,2,1,1,2,2,1,1623,4711,1050,2,12,8,15,0,1,1,1,1,0,0,5,3752,7406,45,700,71,1,2,1,DEJN2209.pdf,00097036.tif,2016,0,1,0,ORIGINAL,06,27,20632,038703,0387,0051599,005,6,173,0,,Y,1,2016-038703
6,10,DE,6,04,6,6,POOR MANS CANYON,6783,10,1702,2209,1599,2,1,2,1,3,1,1643,4711,9996,2,2,12,7,0,1,1,1,0,0,0,8,3752,7406,55,99998,72,2,1,1,DEJN2209.pdf,00097038.tif,2016,0,1,0,ORIGINAL,06,27,20632,038704,0387,0051599,005,6,171,0,,Y,1,2016-038704
6,10,DE,6,05,6,6,POOR MANS CANYON,6783,10,1738,2209,1599,2,1,1,2,2,1,1724,4711,9996,2,2,7,6,0,1,1,1,0,0,0,3,3752,7406,60,900,72,2,2,1,DEJN2209.pdf,00097040.tif,2016,0,0,0,ORIGINAL,06,27,20632,038705,0387,0051599,005,6,169,0,,Y,2,2016-038705
6,34,NJ,6,01,6,6,WILMINGTON CANYON,7660,34,1500,2119,0900,3,1,2,1,3,6,1330,4711,3551,2,2,10,26,0,1,1,1,0,1,0,6,3827,7327,65,800,68,2,1,1,NJJN2119.pdf,00097051.tif,2016,1,1,0,ORIGINAL,06,28,20633,039101,0391,0090900,009,5,395,0,,Y,2,2016-039101
6,34,NJ,6,01,6,6,TRIPLE LUMPS,7509,34,1515,2123,1063,2,1,2,1,3,1,1500,1050,9996,2,2,4,5,0,1,0,1,0,0,0,2,9998,9998,15,60,73,1,2,1,NJJN2123.pdf,00097056.tif,2016,1,1,0,ORIGINAL,06,30,20635,039201,0392,0011063,001,5,397,0,,Y,2,2016-039201
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,01,6,6,SW OF POINT,7519,36,1445,1203,0037,5,1,1,2,3,6,1430,3551,3531,1,1,4,4,1,0,0,0,1,1,0,6,9998,9998,15,180,67,1,2,1,NYJN1203.pdf,00097089.tif,2016,0,0,0,ORIGINAL,06,25,20630,039501,0395,1030037,103,4,664,0,,N,2,2016-039501
