tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,51,VA,6,02,6,BOTTOM FISHING,NORFOLK CANYON,7696,51,1730,1106,0088,3,3,2,1,3,6,1702,1050,9996,2,12,14,7,0,1,0,1,0,0,0,1,6,3705,7435,80,2650,72,2,2,1,VAJN1106.pdf,00132365.tif,2019,0,1,0,ORIGINAL,06,01,21701,001402,0014,8100088,810,7,695,1,Q19;,Y,2,2019-001402
6,51,VA,6,01,6,6,NORFOLK CANYON,6633,51,1740,1201,0091,1,1,1,1,3,1,1710,1050,9996,2,2,9,7,0,1,0,1,0,0,0,0,5,3705,7435,67,4200,75,1,2,1,VAJN1201.pdf,00132375.tif,2019,0,0,0,ORIGINAL,06,01,21701,001801,0018,8100091,810,7,765,0,,Y,1,2019-001801
6,51,VA,6,02,6,6,NORFOLK CANYON,6633,51,1805,1201,0002,1,1,2,1,3,6,1730,1050,4656,2,2,8,6,0,1,0,1,0,0,0,0,9,3705,7435,70,3600,73,1,1,1,VAJN1201.pdf,00132377.tif,2019,0,0,0,ORIGINAL,06,01,21701,001802,0018,8100002,810,7,764,1,Q23;,N,1,2019-001802
6,51,VA,6,01,6,6,CIGAR,7696,51,1730,1202,0088,3,1,1,2,2,2,1720,1050,9996,2,2,9,8,0,1,0,1,0,0,0,0,6,3630,7450,72,2100,73,1,2,1,VAJN1202.pdf,00132381.tif,2019,0,1,0,ORIGINAL,06,02,21702,001901,0019,8100088,810,7,766,0,,N,2,2019-001901
6,51,VA,6,02,6,6,NORFOLK CANYON,7696,51,1750,1202,0088,3,1,2,1,3,1,1735,1050,9996,2,2,8,7,0,1,0,1,0,0,0,0,6,3705,7435,72,6000,76,1,2,1,VAJN1202.pdf,00132383.tif,2019,0,0,0,ORIGINAL,06,02,21702,001902,0019,8100088,810,7,767,0,,Y,2,2019-001902
6,51,VA,6,03,6,6,NORTH CAROLINA,7696,51,1750,1202,0088,3,1,1,2,1,1,1742,7777,9996,2,2,9,13,0,1,0,1,0,0,0,0,5,9998,9998,50,800,78,2,2,1,VAJN1202.pdf,00132385.tif,2019,0,1,0,ORIGINAL,06,02,21702,001903,0019,8100088,810,7,769,0,,Y,1,2019-001903
6,34,NJ,6,04,6,6,NORFOLK CANYON,7696,51,1823,1202,0088,3,1,1,2,3,2,1801,4691,9996,2,1,6,8,0,1,0,1,0,0,0,0,5,3705,7435,65,600,74,1,2,2,VAJN1202.pdf,00132387.tif,2019,0,1,0,ORIGINAL,06,02,21702,001904,0019,8100088,810,7,768,0,,Y,2,2019-001904
6,25,MA,6,01,6,DEAD LINING,STELLWAGEN BANK,7713,25,1435,2124,0784,8,1,2,1,3,1,1412,3591,9996,2,1,1,1,0,1,0,0,0,0,0,1,1,4216,7017,14,350,53,2,2,1,MAJN2124.pdf,00132399.tif,2019,1,0,0,ORIGINAL,06,03,21703,002401,0024,0230784,023,2,507,0,,Y,2,2019-002401
6,24,MD,6,01,6,6,BALTIMORE CANYON,6555,24,1500,1107,0856,4,3,1,2,2,1,1445,4711,4677,2,2,8,7,0,1,1,1,0,0,0,0,3,3814,7350,60,600,72,1,2,1,MDJN1107.pdf,00132409.tif,2019,1,0,0,ORIGINAL,06,01,21701,002801,0028,0470856,047,6,339,0,,Y,2,2019-002801
6,24,MD,6,02,6,6,POOR MANS CANYON,6555,24,1505,1107,0856,4,3,1,2,1,1,1450,4711,4677,2,1,9,14,0,1,1,1,0,0,0,0,3,3752,7406,67,3000,70,1,1,1,MDJN1107.pdf,00132411.tif,2019,0,0,0,ORIGINAL,06,01,21701,002802,0028,0470856,047,6,345,0,,Y,2,2019-002802
6,24,MD,6,03,6,6,BALTIMORE CANYON,6555,24,1605,1107,0856,4,3,1,2,2,2,1600,4711,4677,2,2,9,6,0,0,1,1,0,0,0,0,3,3814,7350,62,700,67,1,2,1,MDJN1107.pdf,00132413.tif,2019,0,0,0,ORIGINAL,06,01,21701,002803,0028,0470856,047,6,343,0,,Y,2,2019-002803
6,24,MD,6,04,6,6,POOR MANS CANYON,6555,24,1616,1107,0856,4,3,1,2,2,1,1605,4656,1050,2,2,7,7,0,1,0,1,0,0,0,0,4,3752,7406,65,2400,68,1,2,1,MDJN1107.pdf,00132415.tif,2019,0,0,0,ORIGINAL,06,01,21701,002804,0028,0470856,047,6,344,0,,Y,2,2019-002804
6,42,PA,6,05,6,6,FINGERS,6555,24,1625,1107,0856,4,3,1,2,2,1,1620,3591,9996,2,1,3,4,0,1,0,1,0,0,0,0,2,3812,7437,28,120,69,1,1,1,MDJN1107.pdf,00132417.tif,2019,0,0,0,ORIGINAL,06,01,21701,002805,0028,0470856,047,6,340,0,,Y,2,2019-002805
6,24,MD,6,06,6,6,BALTIMORE CANYON,6555,24,1720,1107,0856,4,3,1,2,2,1,1715,4677,9996,2,2,8,7,0,1,1,1,0,0,0,0,3,3814,7350,60,600,69,1,2,1,MDJN1107.pdf,00132419.tif,2019,1,0,0,ORIGINAL,06,01,21701,002806,0028,0470856,047,6,342,0,,Y,2,2019-002806
6,24,MD,6,07,6,6,WASHINGTON CANYON,6555,24,1800,1107,0856,4,3,1,2,2,1,1755,4711,1050,2,2,8,8,0,1,1,1,0,0,0,0,3,3729,7430,60,800,98,1,2,1,MDJN1107.pdf,00132421.tif,2019,0,0,0,ORIGINAL,06,01,21701,002807,0028,0470856,047,6,337,0,,Y,2,2019-002807
6,24,MD,6,08,6,6,WASHINGTON CANYON,6555,24,1805,1107,0856,4,3,1,2,2,1,1800,4711,4677,2,2,13,6,0,1,0,1,0,0,0,0,5,3729,7430,60,680,73,1,2,1,MDJN1107.pdf,00132423.tif,2019,0,0,0,ORIGINAL,06,01,21701,002808,0028,0470856,047,6,341,1,Q19;,Y,2,2019-002808
6,24,MD,6,09,6,6,BALTIMORE CANYON,6555,24,1815,1107,0856,4,3,1,2,2,1,1805,4677,7777,2,2,8,12,0,1,1,1,0,0,0,0,3,3814,7350,62,600,66,1,2,1,MDJN1107.pdf,00132425.tif,2019,1,0,0,ORIGINAL,06,01,21701,002809,0028,0470856,047,6,338,0,,Y,2,2019-002809
6,34,NJ,6,01,6,6,WILMINGTON CANYON,7370,34,1600,1108,1131,11,1,1,2,2,2,1300,4711,4677,2,12,7,12,0,1,1,1,1,0,0,0,3,3824,7327,74,600,69,1,2,1,NJJN1108.pdf,00132432.tif,2019,0,0,0,ORIGINAL,06,02,21702,003001,0030,0091131,009,5,537,0,,Y,2,2019-003001
6,34,NJ,6,02,6,6,LEMKES CANYON,7370,34,1615,1108,1131,11,1,1,2,2,1,1615,3551,4677,2,12,8,12,0,1,1,1,1,0,0,0,5,9999,9999,60,200,64,1,1,1,NJJN1108.pdf,00132434.tif,2019,0,1,0,ORIGINAL,06,02,21702,003002,0030,0091131,009,5,538,0,,Y,1,2019-003002
6,34,NJ,6,01,6,6,RESOR WRECK,6416,34,1445,1202,1808,6,1,1,2,3,1,1430,4678,9996,2,12,9,6,0,1,1,1,0,0,0,0,5,3946,7325,30,115,64,1,2,1,NJJN1202.pdf,00132439.tif,2019,0,0,0,ORIGINAL,06,02,21702,003101,0031,0251808,025,5,549,0,,Y,1,2019-003101
6,36,NY,6,02,6,6,RESOR WRECK,6416,34,1542,1202,1808,6,1,1,2,2,6,1500,4678,9996,2,1,8,8,0,0,1,1,0,0,0,0,4,3946,7325,30,115,55,1,2,1,NJJN1202.pdf,00132441.tif,2019,0,0,0,ORIGINAL,06,02,21702,003102,0031,0251808,025,5,548,1,Q27;,N,2,2019-003102
6,34,NJ,6,03,6,6,RESOR WRECK,6416,34,1607,1202,1050,6,1,1,2,2,2,1515,4678,9996,2,2,10,5,0,1,1,1,0,0,0,0,3,3946,7325,30,115,63,1,2,1,NJJN1202.pdf,00132443.tif,2019,1,0,0,ORIGINAL,06,02,21702,003103,0031,0251050,025,5,550,0,,N,2,2019-003103
,34,NJ,WOUNDED WARRIOR,01,6,6,MASSEYS CANYON,7370,34,1650,1209,0900,3,1,1,2,2,1,1600,4931,9996,1,1,4,6,0,1,0,0,1,0,0,0,5,3825,7420,44,210,68,1,1,1,NJJN1209.pdf,00132448.tif,2019,1,0,0,ORIGINAL,06,01,21701,003201,0032,0090900,009,5,3,1,tcode;,Y,2,2019-003201
6,34,NJ,6,02,6,6,BALTIMORE CANYON,7370,34,1720,1209,0900,3,1,1,2,2,1,1430,4677,3531,2,1,4,12,0,1,1,1,1,0,0,0,7,3820,7345,55,240,68,1,2,1,NJJN1209.pdf,00132450.tif,2019,0,0,0,ORIGINAL,06,01,21701,003202,0032,0090900,009,5,568,0,,Y,2,2019-003202
6,34,NJ,6,03,6,6,19 FATHOM,7370,34,1815,1209,0900,3,1,2,1,3,1,1630,4677,4711,2,2,7,8,0,1,1,1,0,0,0,0,4,3830,7420,40,114,70,1,2,1,NJJN1209.pdf,00132452.tif,2019,0,0,0,ORIGINAL,06,01,21701,003203,0032,0090900,009,5,569,0,,Y,2,2019-003203
6,34,NJ,6,04,6,6,ELEPHANT TRUNK,7370,34,1900,1209,0900,3,1,2,2,3,1,1630,3591,9996,2,1,3,8,0,1,0,0,1,0,0,0,3,3835,7405,40,120,68,1,2,1,NJJN1209.pdf,00132454.tif,2019,1,1,0,ORIGINAL,06,01,21701,003204,0032,0090900,009,5,567,0,,Y,2,2019-003204
,34,NJ,TUNA MARLIN,05,6,6,19 FATHOM LUMP,7370,34,1920,1209,0385,3,1,1,2,2,1,1830,3551,3531,1,1,6,8,0,1,0,0,1,0,0,0,6,3830,7420,45,114,65,1,1,1,NJJN1209.pdf,00132456.tif,2019,0,0,0,ORIGINAL,06,01,21701,003205,0032,0090385,009,5,2,1,tcode;,Y,2,2019-003205
3070,34,NJ,JIMS BAIT & TACKLE SHARK,06,6,6,ELEPHANT TRUNK,7370,34,1945,1209,0385,3,1,2,1,3,1,1830,3551,9996,1,1,4,9,0,1,0,0,1,0,0,0,4,3835,7405,45,150,66,2,2,1,NJJN1209.pdf,00132458.tif,2019,0,1,0,ORIGINAL,06,01,21701,003206,0032,0090385,009,5,162,0,,Y,2,2019-003206
6,34,NJ,6,01,6,6,LITTLE ITALY,7780,34,1630,1210,1050,6,1,1,2,2,1,1330,4677,9996,2,2,5,3,0,0,1,1,0,0,0,0,2,4005,7338,20,120,99,1,2,1,NJJN1210.pdf,00132463.tif,2019,0,1,0,ORIGINAL,06,01,21701,003301,0033,0251050,025,5,575,0,,Y,1,2019-003301
6,34,NJ,6,02,6,6,RESOR WRECK,7780,34,1700,1210,1808,6,1,1,2,2,7,1500,4677,4701,2,2,6,6,0,0,1,1,0,0,0,0,2,3945,7325,30,110,62,1,2,1,NJJN1210.pdf,00132465.tif,2019,0,1,0,ORIGINAL,06,01,21701,003302,0033,0251808,025,5,576,0,,N,2,2019-003302
6,34,NJ,6,03,6,6,RESOR WRECK,7780,34,1715,1210,1808,6,1,1,2,2,1,1400,4677,9996,2,2,5,8,0,1,0,1,0,0,0,0,5,3945,7325,30,120,62,1,2,1,NJJN1210.pdf,00132467.tif,2019,0,0,0,ORIGINAL,06,01,21701,003303,0033,0251808,025,5,573,0,,Y,2,2019-003303
6,34,NJ,6,04,6,6,LITTLE ITALY,7780,34,1730,1210,1808,6,1,2,1,3,1,1630,4677,9996,2,2,10,8,0,1,1,1,0,0,0,0,6,4005,7338,20,100,62,1,2,1,NJJN1210.pdf,00132469.tif,2019,0,1,0,ORIGINAL,06,01,21701,003304,0033,0251808,025,5,571,0,,Y,2,2019-003304
6,34,NJ,6,05,6,6,RESOR WRECK,7780,34,1745,1210,1808,6,1,1,2,3,7,1600,4677,9996,2,2,7,4,0,1,1,1,0,0,0,0,3,3945,7325,25,110,63,1,2,1,NJJN1210.pdf,00132471.tif,2019,0,1,0,ORIGINAL,06,01,21701,003305,0033,0251808,025,5,574,0,,N,2,2019-003305
6,34,NJ,6,06,6,6,FINGERS,7780,34,1815,1210,9125,6,1,1,2,4,6,1800,4677,9996,2,2,2,5,0,0,1,1,0,0,0,0,1,3940,7330,25,90,99,1,2,2,NJJN1210.pdf,00132473.tif,2019,1,0,0,ORIGINAL,06,01,21701,003306,0033,0259125,025,5,577,1,Q16B;,N,2,2019-003306
6,34,NJ,6,07,6,6,SEA GIRT REEF,7780,34,1830,1210,9125,6,1,2,2,3,1,1815,4677,9996,2,2,3,4,0,0,1,1,0,0,0,0,4,4007,7357,5,70,64,1,2,2,NJJN1210.pdf,00132474.tif,2019,1,1,0,REVISED,06,01,21701,003307,0033,0259125,025,5,572,0,,N,2,2019-003307
6,34,NJ,6,08,6,6,RESOR WRECK,7780,34,1900,1210,9005,6,1,1,2,1,6,1700,4677,9996,2,2,6,9,0,1,1,1,0,0,0,0,1,3945,7325,25,120,62,1,2,1,NJJN1210.pdf,00132475.tif,2019,1,1,0,ORIGINAL,06,01,21701,003308,0033,0259005,025,5,570,0,,Y,2,2019-003308
6,36,NY,6,01,6,6,FISH TALES,7466,36,1645,2206,0085,4,1,1,2,2,1,1100,4671,9996,2,2,8,22,0,1,0,1,0,0,0,0,3,4000,7120,70,600,70,1,1,1,NYJN2206.pdf,00132515.tif,2019,0,1,0,ORIGINAL,06,03,21703,004001,0040,1030085,103,4,672,1,Q15;,Y,2,2019-004001
6,36,NY,6,02,6,6,HUDSON CANYON,7466,36,1755,2206,0137,4,1,1,2,2,6,1600,4671,9996,2,2,8,9,0,0,1,1,0,0,0,0,4,3930,7220,55,180,60,1,2,1,NYJN2206.pdf,00132517.tif,2019,0,1,0,ORIGINAL,06,03,21703,004002,0040,1030137,103,4,673,0,,N,2,2019-004002
