tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,batch,month,day,intdate,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1732,2202,1599,2,1,1,2,2,1,1720,4711,4678,2,2,11,13,0,1,1,1,0,0,0,6,3814,7350,68,800,76,2,2,1,dejl2202.tif,00048920.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,207,0,,Y,2,,2012-037412
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1739,2202,1599,2,1,1,2,2,1,1730,4656,2161,2,12,8,5,0,1,0,1,0,0,0,6,3814,7350,63,800,98,2,1,2,dejl2202.tif,00048922.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,204,0,,Y,2,,2012-037413
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1747,2202,1599,2,1,2,1,3,1,1745,4711,2161,2,2,9,8,0,0,1,1,0,0,0,4,3814,7350,75,1200,80,2,2,1,dejl2202.tif,00048923.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,203,0,,Y,2,,2012-037414
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1802,2202,1599,2,1,2,1,3,1,1730,4711,2161,2,2,8,8,0,1,1,1,0,0,0,5,3814,7350,62,630,79,2,1,1,dejl2202.tif,00048925.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,201,0,,Y,2,,2012-037415
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1811,2202,1599,2,1,2,1,3,7,1730,4656,9996,2,2,8,8,0,1,1,1,0,0,0,7,3814,7350,65,600,75,2,1,2,dejl2202.tif,00048927.tif,2012,0,1,0,ORIGINAL,0374,07,06,19180,0051599,005,6,197,0,,Y,2,,2012-037416
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1638,2203,1599,2,1,1,2,2,6,1630,4677,9996,2,2,6,8,0,1,1,1,0,0,0,3,3806,7417,57,225,82,2,1,1,dejl2203.tif,00048933.tif,2012,0,1,0,ORIGINAL,0375,07,03,19177,0051599,005,6,217,0,,N,2,,2012-037501
03,6,10,DE,6,0,6,6,30 FATHOMS,6447,10,1646,2203,1599,2,1,2,1,3,1,1630,4656,1050,2,1,5,8,0,0,1,0,0,1,0,5,9998,9998,50,200,78,2,2,1,dejl2203.tif,00048935.tif,2012,0,1,0,ORIGINAL,0375,07,03,19177,0051599,005,6,212,0,,Y,2,,2012-037502
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 100 FATHOM,6447,10,1737,2203,1599,2,1,1,2,2,7,1730,4656,9996,2,2,10,6,0,1,1,1,0,0,0,3,3814,7350,62,750,76,2,1,1,dejl2203.tif,00048937.tif,2012,0,1,0,ORIGINAL,0375,07,03,19177,0051599,005,6,214,0,,Y,2,,2012-037503
03,6,10,DE,6,0,6,6,MASSEYS CANYON,6447,10,1745,2203,1599,2,1,1,2,2,1,1730,4677,9996,2,1,5,12,0,0,1,0,0,1,0,4,3825,7420,40,170,98,2,1,2,dejl2203.tif,00048939.tif,2012,0,0,0,ORIGINAL,0375,07,03,19177,0051599,005,6,211,0,,Y,2,,2012-037504
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 100 FATHOM,6447,10,1804,2203,1599,2,1,1,2,2,1,1730,4711,9996,2,2,10,15,0,1,1,1,0,0,0,5,3814,7350,60,1000,77,2,1,1,dejl2203.tif,00048940.tif,2012,0,0,0,ORIGINAL,0375,07,03,19177,0051599,005,6,216,0,,Y,2,,2012-037505
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1811,2203,1599,2,1,1,2,2,1,1800,4711,9996,2,2,10,6,0,1,1,1,0,0,0,5,3806,7417,45,250,77,2,2,1,dejl2203.tif,00048942.tif,2012,1,0,0,ORIGINAL,0375,07,03,19177,0051599,005,6,215,0,,Y,2,,2012-037506
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 100 FATHOM,6447,10,1850,2203,1599,2,1,1,2,2,1,1845,4711,9996,2,2,9,8,0,1,1,1,0,0,0,6,3814,7350,63,1500,77,2,1,1,dejl2203.tif,00048944.tif,2012,0,1,0,ORIGINAL,0375,07,03,19177,0051599,005,6,210,0,,Y,2,,2012-037507
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 100 FATHOM,6447,10,1904,2203,1599,2,1,1,2,3,1,1850,4711,9996,2,2,11,10,0,1,1,1,0,0,0,6,3814,7350,63,800,79,2,2,1,dejl2203.tif,00048946.tif,2012,0,0,0,ORIGINAL,0375,07,03,19177,0051599,005,6,213,0,,Y,2,,2012-037508
