tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,s_index,serrflag,sprobfld,id
19,9996,9996,1298,6,9996,6633,3,1,2012,10,21,8100088,0,0,51,02,1111,1,vaoc1111.tif,00058719.tif,4720,1984,0,4,166,0,,2012-198402
17,9996,9996,1301,6,9996,6936,7,1,2012,10,05,0470938,0,0,24,01,2201,1,mdoc2201.tif,00057915.tif,4720,1798,0,2,149,0,,2012-179801
19,9996,9996,1301,6,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,4720,1901,0,4,175,0,,2012-190101
17,9996,9996,1305,6,9996,6936,5,1,2012,10,03,0471493,0,0,24,02,2106,1,mdoc2106.tif,00057749.tif,4720,1762,0,5,144,0,,2012-176202
20,9996,9996,1306,6,9996,7453,3,1,2012,10,24,1030589,0,0,36,06,2209,1,nyoc2209.tif,00059029.tif,4720,2042,0,1,153,0,,2012-204206
19,9996,9996,1307,6,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,4720,1901,0,7,178,0,,2012-190101
19,9996,9996,1314,6,9996,6633,3,1,2012,10,18,8100088,0,0,51,01,2111,1,vaoc2111.tif,00058574.tif,4720,1942,0,2,158,0,,2012-194201
20,9996,9996,1320,6,9996,6633,1,1,2012,10,23,8100091,0,0,51,01,2217,1,vaoc2217.tif,00058833.tif,4720,2015,0,1,167,0,,2012-201501
18,9996,9996,1320,6,9996,7421,1,1,2012,10,04,8100091,0,0,51,01,2202,1,vaoc2202.tif,00058006.tif,4720,1814,0,3,188,0,,2012-181401
19,9996,9996,1322,6,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,4720,1901,0,8,179,0,,2012-190101
17,9996,9996,1338,6,9996,6936,7,1,2012,10,05,0470938,0,0,24,01,2201,1,mdoc2201.tif,00057915.tif,4720,1798,0,1,148,0,,2012-179801
19,9996,9996,1350,6,9996,6633,3,1,2012,10,21,8101832,0,0,51,01,1111,1,vaoc1111.tif,00058717.tif,4720,1984,0,2,161,0,,2012-198401
18,9996,9996,1360,6,9996,7421,1,1,2012,10,06,8100091,0,0,51,01,1201,1,vaoc1201.tif,00057996.tif,4720,1813,0,1,186,0,,2012-181301
18,9996,9996,1367,6,9996,7415,3,1,2012,10,03,8100088,0,1,51,02,2208,1,vaoc2208.tif,00058242.tif,4720,1843,0,1,171,0,,2012-184302
19,9996,9996,1369,6,9996,2836,1,1,2012,10,17,8100091,0,0,51,01,2101,1,vaoc2101.tif,00058517.tif,4720,1929,0,2,155,0,,2012-192901
19,9996,9996,1370,6,9996,2836,1,1,2012,10,17,8100091,0,0,51,01,2101,1,vaoc2101.tif,00058517.tif,4720,1929,0,1,154,0,,2012-192901
19,9996,9996,1378,6,9996,2836,1,1,2012,10,17,8100091,0,0,51,01,2101,1,vaoc2101.tif,00058517.tif,4720,1929,0,3,156,0,,2012-192901
17,9996,9996,1380,6,9996,6936,5,1,2012,10,03,0471493,0,0,24,01,2106,1,mdoc2106.tif,00057747.tif,4720,1762,0,2,143,0,,2012-176201
19,9996,9996,1383,6,9996,6633,1,1,2012,10,20,8100091,0,0,51,01,1107,1,vaoc1107.tif,00058706.tif,4720,1982,0,1,159,0,,2012-198201
19,9996,9996,1400,6,9996,7415,3,1,2012,10,17,8100088,0,1,51,01,2214,1,vaoc2214.tif,00058580.tif,4720,1943,0,4,184,0,,2012-194301
19,9996,9996,1451,6,9996,6633,3,1,2012,10,21,8100088,0,0,51,02,1111,1,vaoc1111.tif,00058719.tif,4720,1984,0,2,164,0,,2012-198402
18,9996,9996,1455,6,9996,7409,8,1,2012,10,05,0291024,0,0,34,02,2107,1,njoc2107.tif,00057949.tif,4720,1805,0,1,152,0,,2012-180502
17,9996,9996,1467,6,9996,6936,5,1,2012,10,03,0471493,0,0,24,01,2106,1,mdoc2106.tif,00057747.tif,4720,1762,0,1,142,0,,2012-176201
19,9996,9996,1498,6,9996,6633,3,1,2012,10,21,8101832,0,0,51,01,1111,1,vaoc1111.tif,00058717.tif,4720,1984,0,3,162,0,,2012-198401
19,9996,9996,1501,6,9996,6633,3,1,2012,10,21,8100088,0,0,51,02,1111,1,vaoc1111.tif,00058719.tif,4720,1984,0,1,163,0,,2012-198402
18,9996,9996,1540,6,9996,7421,1,1,2012,10,06,8100091,0,0,51,02,1201,1,vaoc1201.tif,00057998.tif,4720,1813,0,1,187,0,,2012-181302
19,9996,9996,1571,6,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,4720,1901,0,3,174,0,,2012-190101
19,9996,9996,1578,6,9996,6936,5,1,2012,10,20,0471493,0,0,24,03,1201,1,mdoc1201.tif,00058647.tif,4720,1965,0,1,151,0,,2012-196503
19,9996,9996,1596,6,9996,7415,3,1,2012,10,17,8100088,0,1,51,01,2214,1,vaoc2214.tif,00058580.tif,4720,1943,0,3,183,0,,2012-194301
17,9996,9996,1707,6,9996,6936,5,1,2012,10,06,0471493,0,0,24,04,1101,1,mdoc1101.tif,00057891.tif,4720,1791,0,1,147,0,,2012-179104
20,9996,9996,1677,2,9996,7405,10,1,2012,10,24,0010922,0,0,25,03,2109,1,maoc2109.tif,00058853.tif,4811,2021,0,1,189,1,LENGTH;,2012-202103
06,9996,9996,9996,6,1531,6441,5,4,2012,10,03,0319104,,,23,01,2122,,,,4671,,6,,,,,2012-23-10-06
06,9996,9996,9996,6,2236,6441,5,4,2012,10,03,0319104,,,23,01,2122,,,,4671,,0,,,,,2012-23-10-06
14,9996,9996,1794,6,1870,6767,2,1,2012,10,25,0059008,,,23,03,2207,,,,4679,,0,,,,,2012-23-10-14
04,9996,9996,9998,6,2235,6442,4,4,2012,10,02,0319006,,,23,03,2208,,,,4671,,0,,,,,2012-23-10-04
05,9996,9996,9998,6,2210,6442,4,4,2012,10,02,0319006,,,23,04,2208,,,,4671,,0,,,,,2012-23-10-05
