tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,s_index,serrflag,sprobfld,id
18,9996,9996,1092,6,1115,7409,8,1,2012,10,05,0291024,0,0,34,02,2107,1,njoc2107.tif,00057949.tif,4711,1805,0,3,111,0,,2012-180502
18,9996,9996,1098,6,1127,7437,5,1,2012,10,06,1030037,0,1,36,03,1204,1,nyoc1204.tif,00058185.tif,4711,1808,0,2,132,0,,2012-180803
17,9996,9996,1103,6,1116,6936,5,1,2012,10,03,0471493,0,0,24,01,2106,1,mdoc2106.tif,00057747.tif,4711,1762,0,3,102,0,,2012-176201
20,9996,9996,1106,6,1180,7453,3,1,2012,10,24,1030589,0,0,36,04,2209,1,nyoc2209.tif,00059025.tif,4711,2042,0,2,138,0,,2012-204204
20,9996,9996,1107,6,1187,7453,3,1,2012,10,24,1030589,0,0,36,06,2209,1,nyoc2209.tif,00059029.tif,4711,2042,0,3,141,0,,2012-204206
18,9996,9996,1108,6,1131,7409,8,1,2012,10,05,0291024,0,0,34,02,2107,1,njoc2107.tif,00057949.tif,4711,1805,0,2,110,0,,2012-180502
20,9996,9996,1109,6,1200,7453,3,1,2012,10,24,1030589,0,0,36,04,2209,1,nyoc2209.tif,00059025.tif,4711,2042,0,1,137,0,,2012-204204
20,9996,9996,1109,6,1208,7453,3,1,2012,10,24,1030589,0,0,36,06,2209,1,nyoc2209.tif,00059029.tif,4711,2042,0,2,140,0,,2012-204206
17,9996,9996,1117,6,1129,6447,2,1,2012,10,06,0051599,0,0,10,04,1103,1,deoc1103.tif,00057852.tif,4711,1785,0,1,99,0,,2012-178504
18,9996,9996,1117,6,1164,7437,5,1,2012,10,06,1030037,0,0,36,01,1204,1,nyoc1204.tif,00058180.tif,4711,1808,0,2,116,0,,2012-180801
18,9996,9996,1123,6,1129,7379,3,1,2012,10,06,0470853,0,0,24,04,1205,1,mdoc1205.tif,00058085.tif,4711,1828,0,1,104,0,,2012-182804
19,9996,9996,1123,6,1150,6416,6,1,2012,10,06,0259005,0,0,34,11,1101,1,njoc1101.tif,00058487.tif,4711,1919,0,1,108,0,,2012-191911
18,9996,9996,1128,6,1135,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,4,120,0,,2012-180802
19,9996,9996,1129,6,1147,6416,6,1,2012,10,06,0259125,0,0,34,03,1101,1,njoc1101.tif,00058473.tif,4711,1919,0,2,106,0,,2012-191903
20,9996,9996,1132,6,1142,7453,3,1,2012,10,24,1030589,0,1,36,03,2209,1,nyoc2209.tif,00059023.tif,4711,2042,0,1,136,0,,2012-204203
19,9996,9996,1136,6,1158,6416,6,1,2012,10,06,0259125,0,0,34,03,1101,1,njoc1101.tif,00058473.tif,4711,1919,0,1,105,0,,2012-191903
