tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,q11a,id
040906,09,06,2216,42,0,,6773,3,1,3,2019,07,05,0113879,0,0,2,CTJL2216.pdf,00134803.tif,ORIGINAL,3,BLUE SHARK,4931,0409,1,0,0,0,0,0,3,2019-040906
040907,09,07,2216,43,0,,6773,3,1,4,2019,07,05,0110630,0,0,2,CTJL2216.pdf,00134805.tif,ORIGINAL,11,BLUE SHARK,4931,0409,1,0,0,0,0,0,2,2019-040907
073901,09,01,2225,44,0,,7788,4,2,6,2019,07,24,0113010,0,0,2,CTJL2225.pdf,00136823.tif,ORIGINAL,1,SHORTFIN MAKO SHARK,3551,0739,2,0,0,0,0,0,2,2019-073901
073901,09,01,2225,45,0,,7788,4,2,6,2019,07,24,0113010,0,0,2,CTJL2225.pdf,00136823.tif,ORIGINAL,9,BLUE SHARK,4931,0739,1,0,0,0,0,0,2,2019-073901
041001,10,01,1101,46,0,,7681,2,1,6,2019,07,07,0051599,0,0,1,DEJL1101.pdf,00134809.tif,ORIGINAL,0,DOLPHIN,1050,0410,1,2,2,0,0,0,2,2019-041001
041002,10,02,1101,47,0,,7681,2,1,4,2019,07,07,0051599,0,0,2,DEJL1101.pdf,00134811.tif,ORIGINAL,0,YFT,4711,0410,1,2,2,0,0,0,3,2019-041002
041003,10,03,1101,48,0,,7681,2,1,5,2019,07,07,0051599,0,0,1,DEJL1101.pdf,00134813.tif,ORIGINAL,0,GOLDEN TILEFISH,4467,0410,2,1,1,0,0,0,3,2019-041003
041003,10,03,1101,49,0,,7681,2,1,5,2019,07,07,0051599,0,0,1,DEJL1101.pdf,00134813.tif,ORIGINAL,0,TILEFISH,4470,0410,3,12,12,0,0,0,3,2019-041003
041003,10,03,1101,50,0,,7681,2,1,5,2019,07,07,0051599,0,0,1,DEJL1101.pdf,00134813.tif,ORIGINAL,0,YFT,4711,0410,1,3,3,0,0,0,3,2019-041003
041004,10,04,1101,51,0,,7681,2,1,4,2019,07,07,0051599,0,0,2,DEJL1101.pdf,00134815.tif,ORIGINAL,0,DOLPHIN,1050,0410,1,6,6,0,0,0,2,2019-041004
