faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,tracker,year,enterr,interr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
NYJN2123.pdf,3359,36,6,COIMBRA WRECK,36,1550,0175,7727,1,1615,00161851.tif,06/24/2021,3,2123,1,1,2,2,1,NY,4656,3591,2,6,6,5,5,6,2,4024,7222,30,185,63,2,1,0,1,0,1,1,0,0,0,1,ORIGINAL,03,06,24,335903,2021,0,0,0,103,1030175,4,518,0,,Y,2,2021-335903
MAJN1107.pdf,3385,25,6,STELLWAGEN BANK,25,1614,0024,7907,1,1625,00161963.tif,06/26/2021,15,1107,1,2,1,3,6,MA,4671,9996,2,6,6,3,8,6,8,4225,7025,21,120,60,2,1,1,0,0,0,0,0,1,0,2,ORIGINAL,01,06,26,338501,2021,0,1,0,009,0090024,2,393,1,Q23;,Y,2,2021-338501
MAJN1107.pdf,3385,25,6,STELLWAGEN BANK,25,1640,0024,7907,1,1650,00161965.tif,06/26/2021,15,1107,1,1,2,1,1,MA,4671,9996,2,6,6,3,10,6,2,4225,7025,18,100,63,2,1,1,0,0,0,0,0,1,0,2,ORIGINAL,02,06,26,338502,2021,0,1,0,009,0090024,2,394,0,,Y,2,2021-338502
MAJN1107.pdf,3385,25,6,STELLWAGEN BANK,25,1625,0024,7907,1,1625,00161967.tif,06/26/2021,15,1107,1,1,2,1,1,MA,4671,9996,2,6,6,2,10,6,1,4210,7015,22,100,63,1,1,1,0,0,0,0,0,1,0,1,ORIGINAL,03,06,26,338503,2021,0,1,0,009,0090024,2,395,0,,Y,2,2021-338503
MAJN1107.pdf,3385,25,6,STELLWAGEN BANK,25,1800,0024,7907,1,1845,00161969.tif,06/26/2021,15,1107,1,2,1,3,1,MA,4671,9996,2,6,6,4,8,6,5,4210,7015,22,110,60,2,1,1,0,0,0,0,0,1,0,2,ORIGINAL,04,06,26,338504,2021,0,0,0,009,0090024,2,396,0,,Y,2,2021-338504
MAJN1116.pdf,3387,25,6,CAPE COD BAY N,25,1445,0285,7882,1,1448,00161975.tif,06/26/2021,24,1116,1,1,2,1,1,MA,4671,9996,2,6,6,3,8,6,2,4200,7020,5,100,63,2,2,1,0,0,0,0,0,1,0,1,ORIGINAL,01,06,26,338701,2021,0,0,0,001,0010285,2,398,0,,Y,2,2021-338701
MAJN2127.pdf,3390,25,6,THE CLAW,25,1615,9028,7889,12,1636,00161983.tif,06/24/2021,11,2127,2,1,2,2,2,MA,4677,9996,2,6,6,4,2,JIGGING + CASTING,4,4105,7050,4,100,70,1,1,0,0,1,0,0,0,0,1,1,ORIGINAL,01,06,24,339001,2021,0,0,0,001,0019028,2,406,0,,N,2,2021-339001
MAJN2135.pdf,3391,25,6,STELLWAGEN BANK,25,1718,9249,7633,1,1738,00161987.tif,06/25/2021,37,2135,2,2,1,3,1,MA,4671,9996,2,6,6,3,4,6,8,4216,7017,17,180,58,2,1,1,0,0,0,0,0,1,0,1,ORIGINAL,01,06,25,339101,2021,0,0,0,009,0099249,2,407,1,Q23;,Y,2,2021-339101
MAJN2138.pdf,3392,25,6,CAPE COD BAY N,25,1550,0285,7882,2,1554,00161991.tif,06/25/2021,24,2138,1,1,2,3,1,MA,4671,9996,2,6,6,3,10,6,2,4200,7020,5,90,63,2,2,1,0,0,0,0,0,1,0,1,REVISED,01,06,25,339201,2021,0,1,0,001,0010285,2,409,0,,Y,2,2021-339201
MAJN2138.pdf,3392,25,6,CAPE COD BAY N,25,1615,0285,7882,1,1625,00161993.tif,06/25/2021,24,2138,1,1,2,1,7,MA,4671,9996,2,6,6,3,4,6,2,4200,7020,12,90,63,2,2,1,0,0,0,0,0,1,0,1,ORIGINAL,02,06,25,339202,2021,0,1,0,001,0010285,2,408,0,,Y,2,2021-339202
NJJN1203.pdf,3396,34,6,CARTERET CANYON,34,1520,9005,6416,12,1548,00162003.tif,06/26/2021,6,1203,1,1,2,2,1,NJ,4711,9996,2,6,6,7,6,6,3,3854,7254,89,600,69,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,06,26,339601,2021,0,0,0,025,0259005,5,432,0,,Y,1,2021-339601
NJJN1203.pdf,3396,34,6,LITTLE ITALY,34,1600,9125,6416,1,1635,00162005.tif,06/26/2021,6,1203,1,1,2,2,1,NJ,3531,3551,2,6,6,4,6,6,3,4001,7341,17,90,67,2,1,0,1,0,0,1,0,0,0,1,ORIGINAL,02,06,26,339602,2021,0,0,0,025,0259125,5,431,0,,Y,2,2021-339602
NJJN1215.pdf,3397,34,6,MONSTER LEDGE,34,1500,0894,6013,1,1600,00162073.tif,06/26/2021,10,1215,1,1,2,2,1,NJ,3551,3531,2,6,6,6,8,6,6,4010,7335,30,250,67,2,2,0,1,0,0,1,0,0,0,1,ORIGINAL,01,06,26,339701,2021,0,0,0,029,0290894,5,436,0,,Y,2,2021-339701
NJJN1215.pdf,3397,34,6,RESOR WRECK,34,1530,0193,6013,2,1630,00162074.tif,06/26/2021,10,1215,1,2,1,3,1,NJ,4677,9996,2,6,6,6,8,6,6,3945,7325,40,200,67,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,02,06,26,339702,2021,0,0,0,029,0290193,5,434,0,,N,2,2021-339702
NJJN1215.pdf,3397,34,6,100 SQUARE NE HUDSON CANYON,34,1650,0193,6013,2,1800,00162076.tif,06/26/2021,10,1215,1,1,2,2,1,NJ,4711,9996,2,6,6,6,12,6,5,3930,7210,91,900,70,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,03,06,26,339703,2021,0,0,0,029,0290193,5,435,0,,Y,2,2021-339703
NJJN2154.pdf,3399,34,6,BA BUOY,34,1740,1050,6416,1,1750,00162084.tif,06/25/2021,6,2154,1,1,2,2,1,NJ,3551,3531,2,6,6,4,7,6,5,4019,7347,24,110,64,2,1,0,1,0,0,1,0,0,0,1,REVISED,01,06,25,339901,2021,1,0,0,025,0251050,5,463,0,,Y,2,2021-339901
