stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,filestat,month,day,tracker,year,enterr,interr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
24,2105,02,161,0,,MDJN2105.pdf,2816,7844,00159954.tif,3,1,3,6,ORIGINAL,06,03,281602,2021,0,0,0470853,BFT SCHOOL,4677,1,3,3,0,0,0,0,1,2021-281602
24,2105,03,162,0,,MDJN2105.pdf,2816,7844,00159956.tif,3,1,3,6,ORIGINAL,06,03,281603,2021,0,1,0470853,BFT SCHOOL,4677,1,3,2,0,0,0,0,1,2021-281603
24,2205,01,293,0,,MDJN2205.pdf,2818,6936,00159962.tif,5,1,3,6,ORIGINAL,06,02,281801,2021,0,0,0471493,BFT SCHOOL,4677,1,3,3,0,0,0,0,2,2021-281801
24,2205,01,292,0,,MDJN2205.pdf,2818,6936,00159962.tif,5,1,3,6,ORIGINAL,06,02,281801,2021,0,0,0471493,BLUELINE TILEFISH,4440,2,5,5,0,0,0,0,2,2021-281801
24,2205,01,291,0,,MDJN2205.pdf,2818,6936,00159962.tif,5,1,3,6,ORIGINAL,06,02,281801,2021,0,0,0471493,BLACK SEA BASS,3350,3,7,7,0,0,0,0,2,2021-281801
24,2205,02,294,0,,MDJN2205.pdf,2818,6936,00159964.tif,5,1,3,6,ORIGINAL,06,02,281802,2021,0,0,0471493,BFT SCHOOL,4677,1,1,1,3,0,0,0,2,2021-281802
24,2205,03,296,0,,MDJN2205.pdf,2818,6936,00159966.tif,5,1,2,4,ORIGINAL,06,02,281803,2021,1,0,0471493,BFT SCHOOL,4677,1,2,2,0,0,0,0,2,2021-281803
24,2205,03,295,0,,MDJN2205.pdf,2818,6936,00159966.tif,5,1,2,4,ORIGINAL,06,02,281803,2021,1,0,0471493,BLUELINE TILEFISH,4440,2,1,1,0,0,0,0,2,2021-281803
24,2205,04,297,0,,MDJN2205.pdf,2818,6936,00159968.tif,5,1,3,6,ORIGINAL,06,02,281804,2021,0,0,0471493,BFT SCHOOL,4677,1,3,3,3,0,0,0,1,2021-281804
24,2205,05,300,0,,MDJN2205.pdf,2818,6936,00159970.tif,5,1,3,5,ORIGINAL,06,02,281805,2021,0,0,0471493,BFT SCHOOL,4677,1,2,2,0,0,0,0,1,2021-281805
24,2205,05,299,0,,MDJN2205.pdf,2818,6936,00159970.tif,5,1,3,5,ORIGINAL,06,02,281805,2021,0,0,0471493,BLUELINE TILEFISH,4440,2,15,15,0,0,0,0,1,2021-281805
24,2205,05,298,0,,MDJN2205.pdf,2818,6936,00159970.tif,5,1,3,5,ORIGINAL,06,02,281805,2021,0,0,0471493,BLACK SEA BASS,3350,3,52,52,0,0,0,0,1,2021-281805
34,2218,01,496,0,,NJJN2218.pdf,2826,7895,00159995.tif,11,1,3,3,ORIGINAL,06,02,282601,2021,0,0,0090386,BLACK SEA BASS,3350,1,30,0,0,0,0,0,2,2021-282601
34,2218,02,497,1,ALIVE;,NJJN2218.pdf,2826,7895,00159997.tif,11,1,2,10,ORIGINAL,06,02,282602,2021,1,0,0091131,BFT SCHOOL,4677,1,2,2,24,0,0,0,1,2021-282602
34,2218,02,498,0,,NJJN2218.pdf,2826,7895,00159997.tif,11,1,2,10,ORIGINAL,06,02,282602,2021,1,0,0091131,YFT,4711,2,1,1,0,0,0,0,1,2021-282602
36,2108,01,603,1,ALIVE;,NYJN2108.pdf,2827,7727,00160002.tif,3,1,3,3,ORIGINAL,06,02,282701,2021,0,0,1030175,BFT YOUNG SCHOOL,4673,1,0,0,25,0,0,0,2,2021-282701
36,2108,01,604,0,,NYJN2108.pdf,2827,7727,00160002.tif,3,1,3,3,ORIGINAL,06,02,282701,2021,0,0,1030175,BFT SCHOOL,4677,2,3,3,0,0,0,0,2,2021-282701
36,2108,01,605,0,,NYJN2108.pdf,2827,7727,00160002.tif,3,1,3,3,ORIGINAL,06,02,282701,2021,0,0,1030175,BFT LARGE SCHOOL,4678,3,1,1,0,0,0,0,2,2021-282701
36,2108,01,606,0,,NYJN2108.pdf,2827,7727,00160002.tif,3,1,3,3,ORIGINAL,06,02,282701,2021,0,0,1030175,YFT,4711,4,0,0,1,0,0,0,2,2021-282701
51,2109,01,775,1,KEPT;,VAJN2109.pdf,2829,7872,00160008.tif,3,1,3,8,ORIGINAL,06,02,282901,2021,0,0,8100088,BFT SCHOOL,4677,1,4,4,0,0,0,0,1,2021-282901
51,2109,02,776,0,,VAJN2109.pdf,2829,7872,00160010.tif,3,1,3,8,ORIGINAL,06,02,282902,2021,0,1,8100088,BFT SCHOOL,4677,1,3,3,0,0,0,0,1,2021-282902
