tracker,faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,interr,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,year,enterr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
355806,MDJL1101.pdf,3558,12,6300,NORFOLK CANYON,24,1830,1493,6936,1,1840,00162752.tif,07/03/2021,5,1101,1,2,2,3,6,FL,2161,2171,1,CANYON KICKOFF,6,5,7,6,6,3705,7435,85,3000,74,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,06,07,03,2021,0,0,047,0471493,6,1030,0,,N,2,2021-355806
355807,MDJL1101.pdf,3558,10,6300,WASHINGTON CANYON,24,1830,1493,6936,2,1850,00162754.tif,07/03/2021,5,1101,1,2,2,3,1,DE,4711,1050,1,CANYON KICKOFF,6,10,7,6,4,3727,7427,65,600,70,2,2,0,0,1,1,1,0,0,0,0,1,ORIGINAL,07,07,03,2021,0,0,047,0471493,6,1029,0,,Y,2,2021-355807
355901,MDJL1107.pdf,3559,24,6,ROCK PILE,24,1545,0022,7844,2,1550,00162757.tif,07/04/2021,2,1107,1,2,1,2,7,MD,4711,9996,2,6,6,7,6,6,3,3739,7422,54,430,72,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,04,2021,0,0,047,0470022,6,282,0,,Y,2,2021-355901
355902,MDJL1107.pdf,3559,10,6,BALTIMORE CANYON,24,1658,0024,7844,12,1701,00162759.tif,07/04/2021,2,1107,1,2,1,3,1,DE,4711,9996,2,6,6,8,8,BOTTOM FISHING,4,3814,7350,55,600,72,2,1,0,0,1,0,1,0,0,0,1,1,ORIGINAL,02,07,04,2021,0,0,047,0470024,6,281,0,,Y,2,2021-355902
356701,NJJL1105.pdf,3567,34,6,LINDENKOHL CANYON,34,1745,1724,7509,2,1750,00162783.tif,07/03/2021,2,1105,1,2,1,3,1,NJ,4656,9996,2,6,6,8,4,6,4,3845,7256,75,650,72,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,03,2021,1,0,001,0011724,5,607,0,,N,1,2021-356701
356801,NJJL1106.pdf,3568,34,3325,ATLANTIC PRINCESS,34,1635,9239,6416,12,1705,00162788.tif,07/04/2021,6,1106,1,1,2,2,1,NJ,4678,4711,1,WAR AT THE SHORE,6,7,8,6,3,3949,7311,43,140,68,2,1,0,0,0,1,1,0,0,0,0,1,ORIGINAL,01,07,04,2021,1,0,025,0259239,5,76,0,,Y,1,2021-356801
356802,NJJL1106.pdf,3568,34,6,HENDRRCKSON CAYON,34,1740,9239,6416,2,1807,00162790.tif,07/04/2021,6,1106,1,1,2,2,2,NJ,4711,4691,2,6,6,8,4,6,3,9998,9998,95,500,65,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,02,07,04,2021,0,0,025,0259239,5,608,1,Q27;,Y,1,2021-356802
356803,NJJL1106.pdf,3568,34,6,ATLANTIC PRINCESS,34,1830,1808,6416,12,1916,00162792.tif,07/04/2021,6,1106,1,1,2,2,1,NJ,4711,4678,2,6,6,6,5,CASTING,3,3949,7311,48,140,68,2,1,0,0,0,1,1,0,0,0,1,1,ORIGINAL,03,07,04,2021,0,0,025,0251808,5,609,0,,N,1,2021-356803
356804,NJJL1106.pdf,3568,34,6,WILMINGTON CANYON,34,2017,1050,6416,2,2032,00162794.tif,07/04/2021,6,1106,1,1,2,2,2,NJ,4711,9996,2,6,6,6,8,6,3,3824,7327,100,600,71,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,04,07,04,2021,0,0,025,0251050,5,610,0,,Y,1,2021-356804
356901,NJJL1107.pdf,3569,34,6,HOT DOG,34,1600,1671,7831,1,1645,00162813.tif,07/04/2021,11,1107,1,2,1,3,7,NJ,4711,4691,2,6,6,6,12,JIGGING,6,3806,7417,60,120,70,2,2,1,1,1,0,0,0,1,0,1,1,ORIGINAL,01,07,04,2021,0,0,009,0091671,5,611,0,,Y,2,2021-356901
