tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
18,25,05,2106,111,0,,7633,15,1,2,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093784.tif,ORIGINAL,B,4671,1803,1,1,0,0,0,1,0,3,2015-180305
18,25,06,2106,112,0,,7633,15,1,2,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093786.tif,ORIGINAL,H,1670,1803,2,4,0,0,0,0,0,1,2015-180306
18,25,06,2106,113,0,,7633,15,1,2,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093786.tif,ORIGINAL,A,2120,1803,1,10,0,10,0,0,0,1,2015-180306
18,25,08,2106,114,0,,7633,15,1,4,2015,10,13,0090024,1,0,2,MAOC2106.pdf,00093789.tif,ORIGINAL,B,230,1803,2,2,0,0,0,0,0,3,2015-180308
18,25,08,2106,115,0,,7633,15,1,4,2015,10,13,0090024,1,0,2,MAOC2106.pdf,00093789.tif,ORIGINAL,A,2120,1803,4,10,0,10,0,0,0,3,2015-180308
18,25,08,2106,116,0,,7633,15,1,4,2015,10,13,0090024,1,0,2,MAOC2106.pdf,00093789.tif,ORIGINAL,S,3551,1803,3,1,0,0,0,0,0,3,2015-180308
18,25,08,2106,117,0,,7633,15,1,4,2015,10,13,0090024,1,0,2,MAOC2106.pdf,00093789.tif,ORIGINAL,B,4679,1803,1,1,0,0,0,1,0,3,2015-180308
18,25,01,2107,118,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093847.tif,ORIGINAL,A,2120,1818,1,3,0,12,0,0,0,3,2015-181801
18,25,02,2107,119,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093849.tif,ORIGINAL,H,1479,1818,3,0,0,2,0,0,0,3,2015-181802
18,25,02,2107,120,1,ALIVE;,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093849.tif,ORIGINAL,H,1670,1818,6,0,0,12,0,0,0,3,2015-181802
18,25,02,2107,121,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093849.tif,ORIGINAL,A,2120,1818,1,5,0,0,0,0,0,3,2015-181802
18,25,02,2107,122,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093849.tif,ORIGINAL,P,2695,1818,2,0,0,3,0,0,0,3,2015-181802
18,25,02,2107,123,1,ALIVE;,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093849.tif,ORIGINAL,S,5090,1818,5,0,0,2,0,0,0,3,2015-181802
18,25,03,2107,124,1,ALIVE;,7633,15,1,8,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093851.tif,ORIGINAL,H,1670,1818,4,0,0,2,0,0,0,3,2015-181803
18,25,03,2107,125,0,,7633,15,1,8,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093851.tif,ORIGINAL,A,2120,1818,1,3,0,17,0,0,0,3,2015-181803
18,25,03,2107,126,1,ALIVE;,7633,15,1,8,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093851.tif,ORIGINAL,S,5090,1818,3,0,0,1,0,0,0,3,2015-181803
18,25,04,2107,127,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093853.tif,ORIGINAL,A,2120,1818,1,4,0,11,0,0,0,1,2015-181804
18,25,05,2107,128,1,ALIVE;,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093855.tif,ORIGINAL,H,1670,1818,2,12,0,18,0,0,0,3,2015-181805
18,25,05,2107,129,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093855.tif,ORIGINAL,A,2120,1818,1,0,0,50,0,0,0,3,2015-181805
18,25,05,2107,130,1,ALIVE;,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093855.tif,ORIGINAL,S,5090,1818,3,0,0,2,0,0,0,3,2015-181805
18,25,06,2107,131,1,ALIVE;,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093857.tif,ORIGINAL,H,1670,1818,2,20,0,30,0,0,0,3,2015-181806
18,25,06,2107,132,0,,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093857.tif,ORIGINAL,A,2120,1818,1,20,0,30,0,0,0,3,2015-181806
18,25,06,2107,133,1,ALIVE;,7633,15,1,2,2015,10,14,0090024,0,0,2,MAOC2107.pdf,00093857.tif,ORIGINAL,S,5090,1818,4,0,0,1,0,0,0,3,2015-181806
18,25,01,2118,134,0,,6634,8,3,4,2015,10,14,0230217,0,0,2,MAOC2118.pdf,00094098.tif,ORIGINAL,A,2120,1834,1,20,0,20,0,0,0,3,2015-183401
18,25,02,2118,135,0,,6634,8,3,2,2015,10,14,0230217,0,0,2,MAOC2118.pdf,00094100.tif,ORIGINAL,A,2120,1834,1,24,0,12,0,0,0,3,2015-183402
18,25,01,2124,136,1,ALIVE;,7633,15,1,2,2015,10,16,0090024,0,0,2,MAOC2124.pdf,00094183.tif,ORIGINAL,H,1670,1878,3,3,0,3,0,0,0,1,2015-187801
18,25,01,2124,137,0,,7633,15,1,2,2015,10,16,0090024,0,0,2,MAOC2124.pdf,00094183.tif,ORIGINAL,A,2120,1878,2,5,0,10,0,0,0,1,2015-187801
18,25,01,2124,138,0,,7633,15,1,2,2015,10,16,0090024,0,0,2,MAOC2124.pdf,00094183.tif,ORIGINAL,B,4671,1878,1,1,0,0,0,1,0,1,2015-187801
18,25,02,2124,139,1,ALIVE;,7633,15,1,7,2015,10,16,0090024,0,0,2,MAOC2124.pdf,00094185.tif,ORIGINAL,H,1670,1878,3,3,0,5,0,0,0,3,2015-187802
