tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,1,mdoc1201.tif,00045435.tif,SKIPJACK TUNA,4661,1580,1,0,0,3,0,0,0,ORIGINAL,48,0,,2011-158001
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,1,mdoc1201.tif,00045435.tif,YFT,4711,1580,2,1,1,0,0,0,0,ORIGINAL,49,0,,2011-158001
15,6783,5,1,2011,10,09,0471493,0,1,24,0,1201,1,mdoc1201.tif,00045437.tif,DOLPHIN,1050,1580,3,1,1,0,0,0,0,ORIGINAL,50,0,,2011-158002
15,6783,5,1,2011,10,09,0471493,0,1,24,0,1201,1,mdoc1201.tif,00045437.tif,GOLDEN TILEFI,4467,1580,2,8,2,0,0,0,0,ORIGINAL,51,1,RARE OR ILLEGAL SPECIES KEPT;,2011-158002
15,6783,5,1,2011,10,09,0471493,0,1,24,0,1201,1,mdoc1201.tif,00045437.tif,YFT,4711,1580,1,1,1,0,0,0,0,ORIGINAL,52,0,,2011-158002
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,2,mdoc1201.tif,00045439.tif,DOLPHIN,1050,1580,2,3,0,0,0,0,0,ORIGINAL,53,0,,2011-158003
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,2,mdoc1201.tif,00045439.tif,LITTLE TUNNY,4681,1580,1,0,0,1,0,0,0,ORIGINAL,54,0,,2011-158003
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,2,mdoc1201.tif,00045441.tif,DOLPHIN,1050,1580,1,6,0,0,0,0,0,ORIGINAL,55,0,,2011-158004
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,2,mdoc1201.tif,00045443.tif,DOLPHIN,1050,1580,1,3,0,0,0,0,0,ORIGINAL,56,0,,2011-158005
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,1,mdoc1201.tif,00045448.tif,DOLPHIN,1050,1580,2,1,1,0,0,0,0,ORIGINAL,57,0,,2011-158009
15,6783,5,1,2011,10,09,0471493,0,0,24,0,1201,1,mdoc1201.tif,00045448.tif,YFT,4711,1580,1,2,2,0,0,0,0,ORIGINAL,58,0,,2011-158009
16,6783,3,1,2011,10,11,0470853,0,0,24,0,2203,1,mdoc2203.tif,00045719.tif,DOLPHIN,1050,1622,1,7,7,0,0,0,0,ORIGINAL,59,0,,2011-162201
16,6783,3,1,2011,10,11,0470853,0,0,24,0,2203,1,mdoc2203.tif,00045719.tif,WAHOO,4720,1622,2,3,3,0,0,0,0,ORIGINAL,60,0,,2011-162201
14,6936,1,1,2011,10,01,0470004,0,0,24,0,1105,2,mdoc1105.tif,00045075.tif,DOLPHIN,1050,1497,2,1,1,0,0,0,0,ORIGINAL,61,0,,2011-149701
14,6936,1,1,2011,10,01,0470004,0,0,24,0,1105,2,mdoc1105.tif,00045075.tif,YFT,4711,1497,1,1,1,0,0,0,0,ORIGINAL,62,0,,2011-149701
14,6936,1,1,2011,10,01,0470004,0,0,24,0,1105,2,mdoc1105.tif,00045077.tif,DOLPHIN,1050,1497,1,1,1,0,0,0,0,ORIGINAL,63,0,,2011-149702
15,6936,5,1,2011,10,02,0471493,0,0,24,0,1205,2,mdoc1205.tif,00045052.tif,DOLPHIN,1050,1501,2,1,0,0,0,0,0,ORIGINAL,64,0,,2011-150101
15,6936,5,1,2011,10,02,0471493,0,0,24,0,1205,2,mdoc1205.tif,00045052.tif,WHITE MARLIN,2161,1501,1,0,0,1,0,0,0,ORIGINAL,65,0,,2011-150101
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045216.tif,DOLPHIN,1050,1547,1,3,3,0,0,0,0,ORIGINAL,66,0,,2011-154702
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,2,mdoc1206.tif,00045218.tif,DOLPHIN,1050,1547,2,5,0,1,0,0,0,ORIGINAL,67,0,,2011-154703
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,2,mdoc1206.tif,00045218.tif,YFT,4711,1547,1,6,0,0,0,0,0,ORIGINAL,68,0,,2011-154703
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045220.tif,LITTLE TUNNY,4681,1547,1,9,9,1,0,0,0,ORIGINAL,69,0,,2011-154704
